"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-12",1,1,72,77,5382,0.836492010405054,0,0,553,317,40,77,29,44,6,29
"2","2020-03-13",1,1,85,109,5382,0.836492010405054,0,0,553,317,32,109,21,65,6,21
"3","2020-03-14",2,1,116,151,5382,0.836492010405054,0,0,553,317,42,151,36,101,17,36
"4","2020-03-15",11,1,141,207,5382,0.836492010405054,0,0,553,317,57,208,39,140,17,39
"5","2020-03-16",15,1,137,270,5382,0.836492010405054,0,0,553,317,63,271,11,151,40,11
"6","2020-03-17",24,1,123,340,5382,0.836492010405054,0,0,553,317,72,343,17,168,44,17
"7","2020-03-18",32,1,125,420,5382,0.836492010405054,0,0,553,317,87,430,27,195,58,27
"8","2020-03-19",46,1,147,503,5382,0.836492010405054,0,0,553,317,92,522,29,224,61,29
"9","2020-03-20",67,1,157,604,5382,0.836492010405054,0,0,553,317,117,639,29,253,102,29
"10","2020-03-21",82,1,146,727,5382,0.836492010405054,0,0,553,317,141,780,28,281,119,28
"11","2020-03-22",99,1,135,840,5382,0.836492010405054,0,0,553,317,135,915,21,302,118,21
"12","2020-03-23",129,1,121,943,5382,0.836492010405054,0,0,553,317,139,1054,16,318,121,16
"13","2020-03-24",156,1,112,1054,5382,0.836492010405054,0,0,553,317,148,1202,14,332,130,14
"14","2020-03-25",187,1,97,1185,5382,0.836492010405054,0,0,553,317,178,1380,8,340,156,8
"15","2020-03-26",218,1,97,1284,5382,0.836492010405054,0,0,553,317,160,1540,23,363,141,23
"16","2020-03-27",236,1,114,1378,5382,0.836492010405054,0,0,553,317,174,1714,24,387,162,24
"17","2020-03-28",288,1,124,1476,5382,0.836492010405054,0,0,553,317,178,1892,29,416,168,29
"18","2020-03-29",309,1,107,1553,5382,0.836492010405054,0,0,553,317,173,2065,15,431,157,15
"19","2020-03-30",339,1,108,1638,5382,0.836492010405054,0,0,553,317,180,2245,23,454,165,23
"20","2020-03-31",362,1,97,1717,5382,0.836492010405054,0,0,553,317,195,2440,17,471,187,17
"21","2020-04-01",394,1,94,1757,5382,0.836492010405054,0,0,553,317,174,2614,10,481,159,10
"22","2020-04-02",424,1,112,1784,5382,0.836492010405054,0,0,553,317,163,2777,26,507,150,26
"23","2020-04-03",455,1,132,1818,5382,0.836492010405054,0,0,553,317,178,2955,26,533,167,26
"24","2020-04-04",475,1,126,1911,5382,0.836492010405054,0,0,553,317,239,3194,15,548,226,15
"25","2020-04-05",507,1,109,1961,5382,0.836492010405054,0,0,553,317,192,3386,11,559,182,11
"26","2020-04-06",516,1,119,1939,5382,0.836492010405054,0,0,553,317,143,3529,26,585,132,26
"27","2020-04-07",542,1,112,1938,5382,0.836492010405054,0,0,553,317,161,3690,22,607,154,22
"28","2020-04-08",545,1,114,1880,5382,0.836492010405054,0,0,553,317,118,3808,21,628,109,21
"29","2020-04-09",554,1,100,1861,5382,0.836492010405054,0,0,553,317,159,3967,15,643,150,15
"30","2020-04-10",563,1,114,1813,5382,0.836492010405054,0,0,553,317,107,4074,20,663,102,20
"31","2020-04-11",547,1,97,1730,5382,0.836492010405054,0,0,553,317,104,4178,21,684,97,21
"32","2020-04-12",543,1,87,1630,5382,0.836492010405054,0,0,553,317,98,4276,12,696,94,12
"33","2020-04-13",529,1,79,1519,5382,0.836492010405054,0,0,553,317,94,4370,10,706,87,10
"34","2020-04-14",498,1,72,1451,5382,0.836492010405054,0,0,553,317,74,4444,13,719,65,13
"35","2020-04-15",486,1,74,1380,5382,0.836492010405054,0,0,553,317,96,4540,16,735,96,16
"36","2020-04-16",456,1,84,1272,5382,0.836492010405054,0,0,553,317,65,4605,20,755,63,20
"37","2020-04-17",431,1,82,1172,5382,0.836492010405054,0,0,553,317,66,4671,13,768,62,13
"38","2020-04-18",407,1,81,1071,5382,0.836492010405054,0,0,553,317,45,4716,15,783,39,15
"39","2020-04-19",376,1,81,988,5382,0.836492010405054,0,0,553,317,44,4760,13,796,40,13
"40","2020-04-20",368,1,71,920,5382,0.836492010405054,0,0,553,317,51,4811,13,809,45,13
"41","2020-04-21",356,1,64,839,5382,0.836492010405054,0,0,553,317,45,4856,12,821,40,12
"42","2020-04-22",334,1,58,749,5382,0.836492010405054,0,0,553,317,30,4886,8,829,28,8
"43","2020-04-23",306,1,51,657,5382,0.836492010405054,0,0,553,317,26,4912,9,838,24,9
"44","2020-04-24",274,1,56,597,5382,0.836492010405054,0,0,553,317,25,4937,12,850,22,12
"45","2020-04-25",245,1,54,538,5382,0.836492010405054,0,0,553,317,20,4957,9,859,16,9
"46","2020-04-26",220,1,60,482,5382,0.836492010405054,0,0,553,317,21,4978,15,874,16,15
"47","2020-04-27",183,1,49,432,5382,0.836492010405054,0,0,553,317,17,4995,6,880,15,6
"48","2020-04-28",154,1,44,370,5382,0.836492010405054,0,0,553,317,23,5018,3,883,19,3
"49","2020-04-29",127,1,42,319,5382,0.836492010405054,0,0,553,317,7,5025,6,889,5,6
"50","2020-04-30",108,1,42,275,5382,0.836492010405054,0,0,553,317,9,5034,4,893,6,4
