"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-12",1,1,4,27,3972,0.735901309164149,0,0,306,203,15,27,NA,NA,4,NA
"2","2020-03-13",2,1,7,39,3972,0.735901309164149,0,0,306,203,12,39,1,3,2,1
"3","2020-03-14",2,1,6,59,3972,0.735901309164149,0,0,306,203,20,59,3,6,7,3
"4","2020-03-15",3,1,11,71,3972,0.735901309164149,0,0,306,203,12,71,4,10,3,4
"5","2020-03-16",4,1,17,93,3972,0.735901309164149,0,0,306,203,23,94,6,16,10,6
"6","2020-03-17",7,1,19,116,3972,0.735901309164149,0,0,306,203,23,117,4,20,11,4
"7","2020-03-18",12,1,18,140,3972,0.735901309164149,0,0,306,203,25,142,2,22,20,2
"8","2020-03-19",14,1,16,152,3972,0.735901309164149,0,0,306,203,19,161,1,23,8,1
"9","2020-03-20",19,1,13,164,3972,0.735901309164149,0,0,306,203,19,180,1,24,10,1
"10","2020-03-21",24,1,23,184,3972,0.735901309164149,0,0,306,203,29,209,10,34,12,10
"11","2020-03-22",31,1,24,210,3972,0.735901309164149,0,0,306,203,32,241,3,37,22,3
"12","2020-03-23",38,1,24,228,3972,0.735901309164149,0,0,306,203,30,271,4,41,18,4
"13","2020-03-24",40,1,24,259,3972,0.735901309164149,0,0,306,203,42,313,7,48,28,7
"14","2020-03-25",39,1,31,268,3972,0.735901309164149,0,0,306,203,28,341,9,57,16,9
"15","2020-03-26",45,1,38,272,3972,0.735901309164149,0,0,306,203,19,360,11,68,13,11
"16","2020-03-27",49,1,41,282,3972,0.735901309164149,0,0,306,203,27,387,6,74,18,6
"17","2020-03-28",63,1,35,311,3972,0.735901309164149,0,0,306,203,48,435,4,78,31,4
"18","2020-03-29",76,1,49,340,3972,0.735901309164149,0,0,306,203,61,496,16,94,45,16
"19","2020-03-30",81,1,59,348,3972,0.735901309164149,0,0,306,203,34,530,17,111,17,17
"20","2020-03-31",86,1,59,365,3972,0.735901309164149,0,0,306,203,40,570,16,127,30,16
