"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-13",1,1,11,35,1385,0.810108303249097,0,0,111,71,16,35,2,11,1,2
"2","2020-03-14",3,1,19,43,1385,0.810108303249097,0,0,111,71,8,43,7,18,2,7
"3","2020-03-15",3,1,21,48,1385,0.810108303249097,0,0,111,71,5,48,3,21,NA,3
"4","2020-03-16",3,1,20,60,1385,0.810108303249097,0,0,111,71,12,60,1,22,5,1
"5","2020-03-17",6,1,22,71,1385,0.810108303249097,0,0,111,71,11,71,4,26,6,4
"6","2020-03-18",11,1,25,84,1385,0.810108303249097,0,0,111,71,14,85,7,33,8,7
"7","2020-03-19",13,1,28,94,1385,0.810108303249097,0,0,111,71,14,99,5,38,10,5
"8","2020-03-20",16,1,29,102,1385,0.810108303249097,0,0,111,71,12,111,2,40,8,2
"9","2020-03-21",17,1,26,112,1385,0.810108303249097,0,0,111,71,12,123,2,42,9,2
"10","2020-03-22",21,1,27,125,1385,0.810108303249097,0,0,111,71,19,142,6,48,16,6
"11","2020-03-23",26,1,30,144,1385,0.810108303249097,0,0,111,71,24,166,4,52,18,4
"12","2020-03-24",31,1,27,152,1385,0.810108303249097,0,0,111,71,20,186,7,59,12,7
"13","2020-03-25",30,1,26,162,1385,0.810108303249097,0,0,111,71,18,204,10,69,17,10
"14","2020-03-26",32,1,28,173,1385,0.810108303249097,0,0,111,71,26,230,9,78,22,9
"15","2020-03-27",33,1,29,191,1385,0.810108303249097,0,0,111,71,28,258,3,81,24,3
"16","2020-03-28",35,1,29,201,1385,0.810108303249097,0,0,111,71,19,277,6,87,14,6
"17","2020-03-29",39,1,29,211,1385,0.810108303249097,0,0,111,71,26,303,4,91,21,4
"18","2020-03-30",45,1,27,224,1385,0.810108303249097,0,0,111,71,20,323,7,98,18,7
"19","2020-03-31",42,1,34,223,1385,0.810108303249097,0,0,111,71,21,344,8,106,16,8
"20","2020-04-01",44,1,30,228,1385,0.810108303249097,0,0,111,71,26,370,4,110,22,4
"21","2020-04-02",50,1,35,227,1385,0.810108303249097,0,0,111,71,16,386,8,118,15,8
"22","2020-04-03",49,1,34,232,1385,0.810108303249097,0,0,111,71,23,409,3,121,20,3
"23","2020-04-04",58,1,32,244,1385,0.810108303249097,0,0,111,71,26,435,6,127,24,6
"24","2020-04-05",62,1,31,252,1385,0.810108303249097,0,0,111,71,26,461,5,132,21,5
"25","2020-04-06",63,1,21,261,1385,0.810108303249097,0,0,111,71,28,489,3,135,22,3
"26","2020-04-07",74,1,21,253,1385,0.810108303249097,0,0,111,71,25,514,4,139,21,4
"27","2020-04-08",81,1,24,253,1385,0.810108303249097,0,0,111,71,26,540,4,143,24,4
"28","2020-04-09",75,1,18,250,1385,0.810108303249097,0,0,111,71,21,561,1,144,19,1
"29","2020-04-10",85,1,13,255,1385,0.810108303249097,0,0,111,71,26,587,1,145,24,1
"30","2020-04-11",79,1,14,256,1385,0.810108303249097,0,0,111,71,18,605,3,148,15,3
"31","2020-04-12",76,1,17,262,1385,0.810108303249097,0,0,111,71,24,629,4,152,21,4
"32","2020-04-13",81,1,17,247,1385,0.810108303249097,0,0,111,71,14,643,4,156,12,4
"33","2020-04-14",79,1,20,243,1385,0.810108303249097,0,0,111,71,20,663,6,162,20,6
"34","2020-04-15",78,1,21,250,1385,0.810108303249097,0,0,111,71,34,697,4,166,30,4
"35","2020-04-16",82,1,17,247,1385,0.810108303249097,0,0,111,71,16,713,4,170,15,4
"36","2020-04-17",74,1,16,240,1385,0.810108303249097,0,0,111,71,22,735,3,173,21,3
"37","2020-04-18",75,1,23,239,1385,0.810108303249097,0,0,111,71,20,755,9,182,17,9
"38","2020-04-19",74,1,22,230,1385,0.810108303249097,0,0,111,71,17,772,3,185,17,3
"39","2020-04-20",68,1,24,221,1385,0.810108303249097,0,0,111,71,13,785,6,191,12,6
"40","2020-04-21",64,1,24,219,1385,0.810108303249097,0,0,111,71,18,803,4,195,18,4
"41","2020-04-22",62,1,24,223,1385,0.810108303249097,0,0,111,71,26,829,4,199,22,4
"42","2020-04-23",65,1,25,222,1385,0.810108303249097,0,0,111,71,27,856,3,202,25,3
"43","2020-04-24",63,1,17,223,1385,0.810108303249097,0,0,111,71,20,876,3,205,15,3
"44","2020-04-25",57,1,17,225,1385,0.810108303249097,0,0,111,71,17,893,1,206,13,1
"45","2020-04-26",59,1,17,214,1385,0.810108303249097,0,0,111,71,17,910,5,211,15,5
"46","2020-04-27",59,1,24,214,1385,0.810108303249097,0,0,111,71,19,929,7,218,18,7
"47","2020-04-28",58,1,23,210,1385,0.810108303249097,0,0,111,71,11,940,7,225,11,7
"48","2020-04-29",59,1,21,191,1385,0.810108303249097,0,0,111,71,9,949,3,228,9,3
"49","2020-04-30",61,1,23,185,1385,0.810108303249097,0,0,111,71,15,964,4,232,13,4
"50","2020-05-01",58,1,25,180,1385,0.810108303249097,0,0,111,71,15,979,10,242,11,10
"51","2020-05-02",65,1,28,174,1385,0.810108303249097,0,0,111,71,14,993,8,250,11,8
"52","2020-05-03",60,1,27,178,1385,0.810108303249097,0,0,111,71,21,1014,3,253,19,3
"53","2020-05-04",56,1,32,181,1385,0.810108303249097,0,0,111,71,22,1036,7,260,17,7
"54","2020-05-05",52,1,28,188,1385,0.810108303249097,0,0,111,71,23,1059,6,266,20,6
"55","2020-05-06",49,1,26,185,1385,0.810108303249097,0,0,111,71,16,1075,3,269,15,3
"56","2020-05-07",49,1,19,176,1385,0.810108303249097,0,0,111,71,11,1086,NA,NA,10,NA
"57","2020-05-08",58,1,20,175,1385,0.810108303249097,0,0,111,71,15,1101,7,276,15,7
"58","2020-05-09",57,1,20,174,1385,0.810108303249097,0,0,111,71,15,1116,4,280,15,4
"59","2020-05-10",59,1,18,182,1385,0.810108303249097,0,0,111,71,23,1139,4,284,19,4
"60","2020-05-11",62,1,13,188,1385,0.810108303249097,0,0,111,71,16,1155,2,286,16,2
"61","2020-05-12",63,1,9,187,1385,0.810108303249097,0,0,111,71,10,1165,2,288,10,2
"62","2020-05-13",64,1,9,180,1385,0.810108303249097,0,0,111,71,11,1176,2,290,8,2
"63","2020-05-14",56,1,14,174,1385,0.810108303249097,0,0,111,71,11,1187,5,295,8,5
"64","2020-05-15",52,1,8,160,1385,0.810108303249097,0,0,111,71,11,1198,NA,NA,8,NA
"65","2020-05-16",49,1,8,156,1385,0.810108303249097,0,0,111,71,14,1212,NA,NA,13,NA
"66","2020-05-17",47,1,10,144,1385,0.810108303249097,0,0,111,71,10,1222,2,297,6,2
"67","2020-05-18",43,1,13,140,1385,0.810108303249097,0,0,111,71,12,1234,4,301,11,4
"68","2020-05-19",43,1,16,131,1385,0.810108303249097,0,0,111,71,11,1245,4,305,10,4
"69","2020-05-20",37,1,14,124,1385,0.810108303249097,0,0,111,71,11,1256,2,307,10,2
"70","2020-05-21",36,1,10,109,1385,0.810108303249097,0,0,111,71,4,1260,NA,NA,3,NA
"71","2020-05-22",35,1,9,104,1385,0.810108303249097,0,0,111,71,5,1265,NA,NA,5,NA
"72","2020-05-23",31,1,9,99,1385,0.810108303249097,0,0,111,71,7,1272,NA,NA,5,NA
"73","2020-05-24",29,1,9,103,1385,0.810108303249097,0,0,111,71,11,1283,2,309,9,2
"74","2020-05-25",29,1,7,97,1385,0.810108303249097,0,0,111,71,5,1288,1,310,3,1
"75","2020-05-26",27,1,4,105,1385,0.810108303249097,0,0,111,71,14,1302,NA,NA,12,NA
"76","2020-05-27",26,1,2,98,1385,0.810108303249097,0,0,111,71,8,1310,NA,NA,6,NA
"77","2020-05-28",27,1,2,92,1385,0.810108303249097,0,0,111,71,8,1318,1,311,8,1
"78","2020-05-29",23,1,1,81,1385,0.810108303249097,0,0,111,71,3,1321,NA,NA,1,NA
"79","2020-05-30",27,1,0,82,1385,0.810108303249097,0,0,111,71,9,1330,NA,NA,6,NA
"80","2020-05-31",28,1,0,80,1385,0.810108303249097,0,0,111,71,5,1335,NA,NA,3,NA
"81","2020-06-01",24,1,0,75,1385,0.810108303249097,0,0,111,71,4,1339,NA,NA,4,NA
"82","2020-06-02",26,1,0,78,1385,0.810108303249097,0,0,111,71,5,1344,NA,NA,4,NA
"83","2020-06-03",26,1,0,73,1385,0.810108303249097,0,0,111,71,8,1352,NA,NA,6,NA
"84","2020-06-04",23,1,0,73,1385,0.810108303249097,0,0,111,71,6,1358,NA,NA,4,NA
"85","2020-06-05",25,1,3,72,1385,0.810108303249097,0,0,111,71,5,1363,2,313,4,2
"86","2020-06-06",21,1,5,66,1385,0.810108303249097,0,0,111,71,2,1365,1,314,1,1
"87","2020-06-07",23,1,5,65,1385,0.810108303249097,0,0,111,71,9,1374,1,315,6,1
"88","2020-03-15",1,2,22,37,2099,0.919485469271081,0,0,211,72,10,39,6,33,4,6
"89","2020-03-16",2,2,23,41,2099,0.919485469271081,0,0,211,72,5,44,10,43,2,10
"90","2020-03-17",2,2,28,52,2099,0.919485469271081,0,0,211,72,11,55,10,53,4,10
"91","2020-03-18",3,2,26,64,2099,0.919485469271081,0,0,211,72,10,65,6,59,4,6
"92","2020-03-19",6,2,33,70,2099,0.919485469271081,0,0,211,72,8,73,14,73,2,14
"93","2020-03-20",9,2,22,76,2099,0.919485469271081,0,0,211,72,7,80,8,81,6,8
"94","2020-03-21",12,2,26,81,2099,0.919485469271081,0,0,211,72,15,95,12,93,8,12
"95","2020-03-22",13,2,30,86,2099,0.919485469271081,0,0,211,72,11,106,10,103,7,10
"96","2020-03-23",15,2,29,92,2099,0.919485469271081,0,0,211,72,5,111,11,114,2,11
"97","2020-03-24",18,2,20,96,2099,0.919485469271081,0,0,211,72,13,124,8,122,12,8
"98","2020-03-25",20,2,19,105,2099,0.919485469271081,0,0,211,72,6,130,8,130,3,8
"99","2020-03-26",23,2,26,113,2099,0.919485469271081,0,0,211,72,6,136,8,138,3,8
"100","2020-03-27",29,2,25,117,2099,0.919485469271081,0,0,211,72,13,149,10,148,11,10
"101","2020-03-28",29,2,27,122,2099,0.919485469271081,0,0,211,72,5,154,14,162,4,14
"102","2020-03-29",36,2,35,130,2099,0.919485469271081,0,0,211,72,11,165,15,177,7,15
"103","2020-03-30",36,2,31,142,2099,0.919485469271081,0,0,211,72,9,174,9,186,6,9
"104","2020-03-31",37,2,30,141,2099,0.919485469271081,0,0,211,72,8,182,14,200,4,14
"105","2020-04-01",42,2,23,149,2099,0.919485469271081,0,0,211,72,10,192,11,211,8,11
"106","2020-04-02",41,2,23,158,2099,0.919485469271081,0,0,211,72,18,210,9,220,10,9
"107","2020-04-03",39,2,25,171,2099,0.919485469271081,0,0,211,72,11,221,9,229,5,9
"108","2020-04-04",43,2,21,173,2099,0.919485469271081,0,0,211,72,11,232,9,238,8,9
"109","2020-04-05",41,2,20,176,2099,0.919485469271081,0,0,211,72,4,236,6,244,2,6
"110","2020-04-06",44,2,15,176,2099,0.919485469271081,0,0,211,72,8,244,13,257,6,13
"111","2020-04-07",46,2,19,182,2099,0.919485469271081,0,0,211,72,11,255,9,266,7,9
"112","2020-04-08",43,2,23,185,2099,0.919485469271081,0,0,211,72,10,265,5,271,6,5
"113","2020-04-09",46,2,17,190,2099,0.919485469271081,0,0,211,72,13,278,5,276,9,5
"114","2020-04-10",51,2,21,186,2099,0.919485469271081,0,0,211,72,8,286,5,281,5,5
"115","2020-04-11",52,2,17,198,2099,0.919485469271081,0,0,211,72,4,290,2,283,3,2
"116","2020-04-12",51,2,17,200,2099,0.919485469271081,0,0,211,72,11,301,4,287,9,4
"117","2020-04-13",54,2,13,225,2099,0.919485469271081,0,0,211,72,8,309,5,292,5,5
"118","2020-04-14",54,2,12,239,2099,0.919485469271081,0,0,211,72,11,320,3,295,10,3
"119","2020-04-15",62,2,14,242,2099,0.919485469271081,0,0,211,72,13,333,6,301,11,6
"120","2020-04-16",66,2,12,245,2099,0.919485469271081,0,0,211,72,10,343,14,315,8,14
"121","2020-04-17",62,2,10,255,2099,0.919485469271081,0,0,211,72,12,355,6,321,9,6
"122","2020-04-18",67,2,12,268,2099,0.919485469271081,0,0,211,72,8,363,9,330,5,9
"123","2020-04-19",69,2,10,275,2099,0.919485469271081,0,0,211,72,6,369,3,333,3,3
"124","2020-04-20",71,2,9,280,2099,0.919485469271081,0,0,211,72,6,375,NA,NA,6,NA
"125","2020-04-21",77,2,10,307,2099,0.919485469271081,0,0,211,72,8,383,3,336,7,3
"126","2020-04-22",72,2,10,316,2099,0.919485469271081,0,0,211,72,4,387,3,339,3,3
"127","2020-04-23",71,2,8,328,2099,0.919485469271081,0,0,211,72,7,394,6,345,5,6
"128","2020-04-24",78,2,9,344,2099,0.919485469271081,0,0,211,72,9,403,NA,NA,7,NA
"129","2020-04-25",83,2,9,352,2099,0.919485469271081,0,0,211,72,9,412,1,346,5,1
"130","2020-04-26",95,2,9,354,2099,0.919485469271081,0,0,211,72,5,417,1,347,5,1
"131","2020-04-27",102,2,9,356,2099,0.919485469271081,0,0,211,72,4,421,NA,NA,3,NA
"132","2020-04-28",106,2,11,371,2099,0.919485469271081,0,0,211,72,3,424,1,348,3,1
"133","2020-04-29",115,2,11,374,2099,0.919485469271081,0,0,211,72,7,431,NA,NA,7,NA
"134","2020-04-30",124,2,20,371,2099,0.919485469271081,0,0,211,72,4,435,NA,NA,3,NA
"135","2020-05-01",121,2,20,369,2099,0.919485469271081,0,0,211,72,7,442,NA,NA,3,NA
"136","2020-05-02",116,2,19,376,2099,0.919485469271081,0,0,211,72,6,448,NA,NA,5,NA
"137","2020-05-03",107,2,13,376,2099,0.919485469271081,0,0,211,72,7,455,NA,NA,5,NA
