"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-13",1,1,40,58,2827,0.826671383091617,0,0,256,142,31,58,13,30,5,13
"2","2020-03-14",2,1,51,76,2827,0.826671383091617,0,0,256,142,18,76,13,43,4,13
"3","2020-03-15",2,1,64,111,2827,0.826671383091617,0,0,256,142,35,111,17,60,18,17
"4","2020-03-16",8,1,72,130,2827,0.826671383091617,0,0,256,142,20,131,20,80,14,20
"5","2020-03-17",15,1,70,157,2827,0.826671383091617,0,0,256,142,27,158,10,90,15,10
"6","2020-03-18",21,1,67,187,2827,0.826671383091617,0,0,256,142,33,191,9,99,25,9
"7","2020-03-19",28,1,65,224,2827,0.826671383091617,0,0,256,142,39,230,10,109,26,10
"8","2020-03-20",37,1,66,262,2827,0.826671383091617,0,0,256,142,43,273,11,120,30,11
"9","2020-03-21",49,1,57,302,2827,0.826671383091617,0,0,256,142,47,320,6,126,33,6
"10","2020-03-22",61,1,42,329,2827,0.826671383091617,0,0,256,142,40,360,3,129,33,3
"11","2020-03-23",72,1,41,369,2827,0.826671383091617,0,0,256,142,52,412,5,134,40,5
"12","2020-03-24",79,1,28,390,2827,0.826671383091617,0,0,256,142,41,453,2,136,35,2
"13","2020-03-25",93,1,29,407,2827,0.826671383091617,0,0,256,142,41,494,4,140,29,4
"14","2020-03-26",107,1,33,431,2827,0.826671383091617,0,0,256,142,55,549,7,147,39,7
"15","2020-03-27",118,1,42,457,2827,0.826671383091617,0,0,256,142,52,601,11,158,43,11
"16","2020-03-28",121,1,54,471,2827,0.826671383091617,0,0,256,142,50,651,16,174,48,16
"17","2020-03-29",135,1,49,495,2827,0.826671383091617,0,0,256,142,64,715,9,183,51,9
"18","2020-03-30",135,1,47,519,2827,0.826671383091617,0,0,256,142,59,774,5,188,51,5
"19","2020-03-31",140,1,49,530,2827,0.826671383091617,0,0,256,142,51,825,10,198,45,10
"20","2020-04-01",141,1,62,549,2827,0.826671383091617,0,0,256,142,53,878,16,214,45,16
"21","2020-04-02",138,1,63,561,2827,0.826671383091617,0,0,256,142,58,936,10,224,50,10
"22","2020-04-03",135,1,71,571,2827,0.826671383091617,0,0,256,142,52,988,15,239,44,15
"23","2020-04-04",142,1,63,590,2827,0.826671383091617,0,0,256,142,64,1052,8,247,60,8
"24","2020-04-05",139,1,64,603,2827,0.826671383091617,0,0,256,142,61,1113,12,259,57,12
"25","2020-04-06",148,1,57,595,2827,0.826671383091617,0,0,256,142,49,1162,12,271,44,12
"26","2020-04-07",158,1,49,596,2827,0.826671383091617,0,0,256,142,65,1227,8,279,57,8
"27","2020-04-08",160,1,38,619,2827,0.826671383091617,0,0,256,142,62,1289,3,282,56,3
"28","2020-04-09",160,1,38,614,2827,0.826671383091617,0,0,256,142,49,1338,5,287,43,5
"29","2020-04-10",169,1,31,602,2827,0.826671383091617,0,0,256,142,45,1383,3,290,39,3
"30","2020-04-11",170,1,27,583,2827,0.826671383091617,0,0,256,142,42,1425,4,294,38,4
"31","2020-04-12",175,1,29,572,2827,0.826671383091617,0,0,256,142,49,1474,4,298,43,4
