"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-12",3,1,79,159,6876,0.779959278650378,0,0,632,344,85,159,14,40,18,14
"2","2020-03-13",5,1,137,222,6876,0.779959278650378,0,0,632,344,63,222,54,94,13,54
"3","2020-03-14",12,1,166,301,6876,0.779959278650378,0,0,632,344,79,301,35,129,23,35
"4","2020-03-15",22,1,210,420,6876,0.779959278650378,0,0,632,344,119,420,66,195,61,66
"5","2020-03-16",43,1,222,541,6876,0.779959278650378,0,0,632,344,121,541,43,238,66,43
"6","2020-03-17",67,1,221,699,6876,0.779959278650378,0,0,632,344,159,700,34,272,95,34
"7","2020-03-18",88,1,244,847,6876,0.779959278650378,0,0,632,344,157,857,52,324,110,52
"8","2020-03-19",118,1,239,1010,6876,0.779959278650378,0,0,632,344,185,1042,31,355,134,31
"9","2020-03-20",147,1,233,1202,6876,0.779959278650378,0,0,632,344,210,1252,37,392,166,37
"10","2020-03-21",186,1,217,1417,6876,0.779959278650378,0,0,632,344,252,1504,29,421,220,29
"11","2020-03-22",230,1,194,1635,6876,0.779959278650378,0,0,632,344,262,1766,18,439,227,18
"12","2020-03-23",266,1,185,1825,6876,0.779959278650378,0,0,632,344,262,2028,24,463,229,24
"13","2020-03-24",306,1,189,1999,6876,0.779959278650378,0,0,632,344,265,2293,33,496,230,33
"14","2020-03-25",377,1,188,2186,6876,0.779959278650378,0,0,632,344,286,2579,29,525,257,29
"15","2020-03-26",424,1,190,2328,6876,0.779959278650378,0,0,632,344,263,2842,32,557,238,32
"16","2020-03-27",483,1,178,2459,6876,0.779959278650378,0,0,632,344,280,3122,25,582,254,25
"17","2020-03-28",528,1,162,2604,6876,0.779959278650378,0,0,632,344,291,3413,8,590,264,8
"18","2020-03-29",571,1,161,2676,6876,0.779959278650378,0,0,632,344,239,3652,24,614,221,24
"19","2020-03-30",635,1,173,2743,6876,0.779959278650378,0,0,632,344,240,3892,30,644,220,30
"20","2020-03-31",679,1,173,2772,6876,0.779959278650378,0,0,632,344,234,4126,32,676,218,32
"21","2020-04-01",700,1,177,2799,6876,0.779959278650378,0,0,632,344,238,4364,41,717,220,41
"22","2020-04-02",730,1,174,2832,6876,0.779959278650378,0,0,632,344,241,4605,30,747,219,30
"23","2020-04-03",758,1,158,2823,6876,0.779959278650378,0,0,632,344,258,4863,21,768,245,21
"24","2020-04-04",778,1,166,2747,6876,0.779959278650378,0,0,632,344,184,5047,28,796,170,28
"25","2020-04-05",789,1,167,2660,6876,0.779959278650378,0,0,632,344,163,5210,42,838,145,42
"26","2020-04-06",799,1,192,2545,6876,0.779959278650378,0,0,632,344,149,5359,44,882,141,44
"27","2020-04-07",800,1,186,2427,6876,0.779959278650378,0,0,632,344,136,5495,23,905,124,23
"28","2020-04-08",789,1,172,2300,6876,0.779959278650378,0,0,632,344,127,5622,28,933,122,28
"29","2020-04-09",766,1,169,2115,6876,0.779959278650378,0,0,632,344,80,5702,29,962,69,29
"30","2020-04-10",724,1,156,1935,6876,0.779959278650378,0,0,632,344,77,5779,26,988,71,26
"31","2020-04-11",677,1,138,1782,6876,0.779959278650378,0,0,632,344,79,5858,14,1002,73,14
"32","2020-04-12",636,1,139,1620,6876,0.779959278650378,0,0,632,344,65,5923,17,1019,61,17
"33","2020-04-13",578,1,136,1459,6876,0.779959278650378,0,0,632,344,58,5981,25,1044,53,25
"34","2020-04-14",547,1,119,1306,6876,0.779959278650378,0,0,632,344,61,6042,16,1060,56,16
"35","2020-04-15",508,1,107,1158,6876,0.779959278650378,0,0,632,344,62,6104,12,1072,51,12
"36","2020-04-16",458,1,89,1005,6876,0.779959278650378,0,0,632,344,35,6139,9,1081,29,9
"37","2020-04-17",432,1,83,867,6876,0.779959278650378,0,0,632,344,27,6166,8,1089,22,8
"38","2020-04-18",407,1,79,777,6876,0.779959278650378,0,0,632,344,34,6200,9,1098,27,9
