"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-08",1,1,0,0,5843,0.364709909293171,8205,34409,325,782,NA,NA,NA,NA,NA,NA
"2","2020-03-09",1,1,0,0,5843,0.364709909293171,8205,34409,325,782,NA,NA,NA,NA,NA,NA
"3","2020-03-10",0,1,0,0,5843,0.364709909293171,8205,34409,325,782,NA,NA,1,1,NA,1
"4","2020-03-11",0,1,0,0,5843,0.364709909293171,8205,34409,325,782,47,47,12,13,NA,12
"5","2020-03-12",0,1,0,0,5843,0.364709909293171,8205,34409,325,782,46,93,16,29,6,16
"6","2020-03-13",5,1,70,139,5843,0.364709909293171,8205,34409,325,782,46,139,27,56,8,27
"7","2020-03-14",7,1,97,196,5843,0.364709909293171,8205,34409,325,782,57,196,31,87,18,31
"8","2020-03-15",25,1,89,254,5843,0.364709909293171,8205,34409,325,782,58,254,15,102,13,15
"9","2020-03-16",36,1,101,321,5843,0.364709909293171,8205,34409,325,782,67,321,25,127,18,25
"10","2020-03-17",35,1,92,390,5843,0.364709909293171,8205,34409,325,782,72,393,14,141,25,14
"11","2020-03-18",54,1,113,460,5843,0.364709909293171,8205,34409,325,782,78,471,29,170,34,29
"12","2020-03-19",72,1,107,506,5843,0.364709909293171,8205,34409,325,782,63,534,16,186,18,16
"13","2020-03-20",106,1,94,564,5843,0.364709909293171,8205,34409,325,782,77,611,17,203,28,17
"14","2020-03-21",134,1,121,623,5843,0.364709909293171,8205,34409,325,782,78,689,35,238,27,35
"15","2020-03-22",165,1,109,676,5843,0.364709909293171,8205,34409,325,782,78,767,16,254,33,16
"16","2020-03-23",175,1,100,714,5843,0.364709909293171,8205,34409,325,782,81,848,11,265,40,11
"17","2020-03-24",188,1,92,747,5843,0.364709909293171,8205,34409,325,782,66,914,13,278,29,13
"18","2020-03-25",195,1,118,783,5843,0.364709909293171,8205,34409,325,782,81,995,35,313,43,35
"19","2020-03-26",215,1,114,824,5843,0.364709909293171,8205,34409,325,782,92,1087,21,334,46,21
"20","2020-03-27",239,1,114,830,5843,0.364709909293171,8205,34409,325,782,76,1163,18,352,29,18
"21","2020-03-28",245,1,127,838,5843,0.364709909293171,8205,34409,325,782,81,1244,29,381,39,29
"22","2020-03-29",248,1,161,858,5843,0.364709909293171,8205,34409,325,782,80,1324,47,428,39,47
"23","2020-03-30",253,1,175,895,5843,0.364709909293171,8205,34409,325,782,112,1436,42,470,57,42
"24","2020-03-31",251,1,165,919,5843,0.364709909293171,8205,34409,325,782,95,1531,21,491,52,21
"25","2020-04-01",259,1,167,949,5843,0.364709909293171,8205,34409,325,782,90,1621,24,515,46,24
"26","2020-04-02",251,1,174,966,5843,0.364709909293171,8205,34409,325,782,92,1713,37,552,49,37
"27","2020-04-03",309,1,205,955,5843,0.364709909293171,8205,34409,325,782,72,1785,52,604,36,52
"28","2020-04-04",348,1,198,963,5843,0.364709909293171,8205,34409,325,782,90,1875,28,632,36,28
"29","2020-04-05",327,1,178,981,5843,0.364709909293171,8205,34409,325,782,100,1975,25,657,49,25
"30","2020-04-06",318,1,171,963,5843,0.364709909293171,8205,34409,325,782,75,2050,27,684,35,27
"31","2020-04-07",316,1,146,966,5843,0.364709909293171,8205,34409,325,782,88,2138,11,695,39,11
"32","2020-04-08",306,1,137,962,5843,0.364709909293171,8205,34409,325,782,83,2221,16,711,36,16
"33","2020-04-09",304,1,136,974,5843,0.364709909293171,8205,34409,325,782,100,2321,21,732,45,21
"34","2020-04-10",320,1,153,979,5843,0.364709909293171,8205,34409,325,782,95,2416,37,769,42,37
"35","2020-04-11",299,1,144,1000,5843,0.364709909293171,8205,34409,325,782,89,2505,22,791,46,22
"36","2020-04-12",315,1,156,1001,5843,0.364709909293171,8205,34409,325,782,91,2596,30,821,35,30
"37","2020-04-13",318,1,148,1009,5843,0.364709909293171,8205,34409,325,782,85,2681,25,846,43,25
"38","2020-04-14",319,1,177,1006,5843,0.364709909293171,8205,34409,325,782,74,2755,41,887,24,41
"39","2020-04-15",337,1,161,994,5843,0.364709909293171,8205,34409,325,782,71,2826,18,905,29,18
"40","2020-04-16",337,1,150,1000,5843,0.364709909293171,8205,34409,325,782,79,2905,16,921,40,16
"41","2020-04-17",375,1,147,964,5843,0.364709909293171,8205,34409,325,782,83,2988,17,938,34,17
"42","2020-04-18",388,1,174,960,5843,0.364709909293171,8205,34409,325,782,73,3061,44,982,29,44
"43","2020-04-19",346,1,175,941,5843,0.364709909293171,8205,34409,325,782,69,3130,32,1014,25,32
"44","2020-04-20",338,1,177,912,5843,0.364709909293171,8205,34409,325,782,62,3192,28,1042,28,28
"45","2020-04-21",323,1,182,890,5843,0.364709909293171,8205,34409,325,782,59,3251,28,1070,20,28
"46","2020-04-22",307,1,183,876,5843,0.364709909293171,8205,34409,325,782,63,3314,36,1106,28,36
"47","2020-04-23",309,1,214,879,5843,0.364709909293171,8205,34409,325,782,82,3396,55,1161,25,55
"48","2020-04-24",311,1,219,874,5843,0.364709909293171,8205,34409,325,782,72,3468,48,1209,29,48
"49","2020-04-25",288,1,232,839,5843,0.364709909293171,8205,34409,325,782,55,3523,49,1258,28,49
"50","2020-04-26",288,1,251,807,5843,0.364709909293171,8205,34409,325,782,59,3582,54,1312,27,54
"51","2020-04-27",281,1,268,810,5843,0.364709909293171,8205,34409,325,782,77,3659,42,1354,24,42
