"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-12",1,1,55,66,2405,0.532224532224532,8355,20667,130,315,30,66,18,30,3,18
"2","2020-03-13",2,1,63,117,2405,0.532224532224532,8355,20667,130,315,51,117,13,43,10,13
"3","2020-03-14",17,1,77,161,2405,0.532224532224532,8355,20667,130,315,44,161,17,60,7,17
"4","2020-03-15",23,1,91,201,2405,0.532224532224532,8355,20667,130,315,40,201,28,88,11,28
"5","2020-03-16",26,1,95,244,2405,0.532224532224532,8355,20667,130,315,43,244,21,109,20,21
"6","2020-03-17",40,1,83,299,2405,0.532224532224532,8355,20667,130,315,57,301,8,117,22,8
"7","2020-03-18",55,1,75,347,2405,0.532224532224532,8355,20667,130,315,53,354,5,122,22,5
"8","2020-03-19",67,1,72,396,2405,0.532224532224532,8355,20667,130,315,53,407,7,129,25,7
"9","2020-03-20",89,1,68,432,2405,0.532224532224532,8355,20667,130,315,47,454,9,138,27,9
"10","2020-03-21",116,1,71,468,2405,0.532224532224532,8355,20667,130,315,52,506,12,150,20,12
"11","2020-03-22",154,1,105,502,2405,0.532224532224532,8355,20667,130,315,52,558,33,183,25,33
"12","2020-03-23",165,1,133,511,2405,0.532224532224532,8355,20667,130,315,35,593,47,230,22,47
"13","2020-03-24",159,1,141,528,2405,0.532224532224532,8355,20667,130,315,50,643,32,262,34,32
"14","2020-03-25",161,1,131,550,2405,0.532224532224532,8355,20667,130,315,56,699,16,278,35,16
"15","2020-03-26",165,1,128,539,2405,0.532224532224532,8355,20667,130,315,40,739,16,294,29,16
"16","2020-03-27",199,1,118,527,2405,0.532224532224532,8355,20667,130,315,43,782,23,317,28,23
"17","2020-03-28",193,1,113,530,2405,0.532224532224532,8355,20667,130,315,48,830,23,340,29,23
