"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-07",1,1,0,0,2519,0.52322350138944,8325,21398,121,239,NA,NA,NA,NA,NA,NA
"2","2020-03-08",1,1,0,0,2519,0.52322350138944,8325,21398,121,239,NA,NA,NA,NA,NA,NA
"3","2020-03-09",0,1,0,0,2519,0.52322350138944,8325,21398,121,239,NA,NA,NA,NA,NA,NA
"4","2020-03-10",0,1,0,0,2519,0.52322350138944,8325,21398,121,239,NA,NA,1,1,NA,1
"5","2020-03-11",0,1,0,0,2519,0.52322350138944,8325,21398,121,239,11,11,1,2,NA,1
"6","2020-03-12",0,1,0,0,2519,0.52322350138944,8325,21398,121,239,15,26,6,8,1,6
"7","2020-03-13",5,1,13,37,2519,0.52322350138944,8325,21398,121,239,11,37,2,10,1,2
"8","2020-03-14",5,1,22,50,2519,0.52322350138944,8325,21398,121,239,13,50,9,19,1,9
"9","2020-03-15",6,1,33,66,2519,0.52322350138944,8325,21398,121,239,16,66,12,31,5,12
"10","2020-03-16",7,1,30,75,2519,0.52322350138944,8325,21398,121,239,9,75,7,38,4,7
"11","2020-03-17",8,1,32,99,2519,0.52322350138944,8325,21398,121,239,24,99,7,45,10,7
"12","2020-03-18",13,1,36,120,2519,0.52322350138944,8325,21398,121,239,23,122,10,55,6,10
"13","2020-03-19",18,1,41,129,2519,0.52322350138944,8325,21398,121,239,13,135,6,61,2,6
"14","2020-03-20",22,1,53,137,2519,0.52322350138944,8325,21398,121,239,15,150,17,78,4,17
"15","2020-03-21",34,1,54,159,2519,0.52322350138944,8325,21398,121,239,26,176,14,92,11,14
"16","2020-03-22",46,1,56,182,2519,0.52322350138944,8325,21398,121,239,27,203,12,104,13,12
"17","2020-03-23",52,1,64,199,2519,0.52322350138944,8325,21398,121,239,27,230,19,123,12,19
"18","2020-03-24",57,1,54,209,2519,0.52322350138944,8325,21398,121,239,21,251,5,128,8,5
"19","2020-03-25",56,1,50,216,2519,0.52322350138944,8325,21398,121,239,19,270,6,134,12,6
"20","2020-03-26",58,1,46,230,2519,0.52322350138944,8325,21398,121,239,28,298,10,144,18,10
"21","2020-03-27",65,1,55,244,2519,0.52322350138944,8325,21398,121,239,26,324,16,160,13,16
"22","2020-03-28",71,1,52,257,2519,0.52322350138944,8325,21398,121,239,25,349,8,168,12,8
