"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-08",1,1,0,0,775,0.580645161290323,8385,10091,47,81,NA,NA,NA,NA,NA,NA
"2","2020-03-09",1,1,0,0,775,0.580645161290323,8385,10091,47,81,NA,NA,NA,NA,NA,NA
"3","2020-03-10",0,1,0,0,775,0.580645161290323,8385,10091,47,81,1,1,2,2,1,2
"4","2020-03-11",0,1,0,0,775,0.580645161290323,8385,10091,47,81,7,8,12,14,NA,12
"5","2020-03-12",0,1,0,0,775,0.580645161290323,8385,10091,47,81,12,20,5,19,NA,5
"6","2020-03-13",1,1,29,30,775,0.580645161290323,8385,10091,47,81,10,30,9,28,2,9
"7","2020-03-14",3,1,32,39,775,0.580645161290323,8385,10091,47,81,9,39,7,35,2,7
"8","2020-03-15",5,1,29,53,775,0.580645161290323,8385,10091,47,81,14,53,3,38,7,3
"9","2020-03-16",7,1,33,69,775,0.580645161290323,8385,10091,47,81,16,69,6,44,7,6
"10","2020-03-17",9,1,42,82,775,0.580645161290323,8385,10091,47,81,13,82,10,54,5,10
"11","2020-03-18",13,1,47,102,775,0.580645161290323,8385,10091,47,81,20,102,15,69,14,15
"12","2020-03-19",17,1,49,115,775,0.580645161290323,8385,10091,47,81,18,120,10,79,9,10
"13","2020-03-20",21,1,44,128,775,0.580645161290323,8385,10091,47,81,14,134,6,85,6,6
"14","2020-03-21",30,1,41,140,775,0.580645161290323,8385,10091,47,81,18,152,6,91,11,6
"15","2020-03-22",35,1,40,157,775,0.580645161290323,8385,10091,47,81,21,173,3,94,12,3
"16","2020-03-23",41,1,35,160,775,0.580645161290323,8385,10091,47,81,12,185,2,96,5,2
"17","2020-03-24",45,1,35,168,775,0.580645161290323,8385,10091,47,81,18,203,6,102,11,6
"18","2020-03-25",51,1,37,179,775,0.580645161290323,8385,10091,47,81,25,228,9,111,19,9
"19","2020-03-26",56,1,39,191,775,0.580645161290323,8385,10091,47,81,19,247,5,116,11,5
"20","2020-03-27",68,1,36,194,775,0.580645161290323,8385,10091,47,81,21,268,7,123,12,7
"21","2020-03-28",65,1,37,194,775,0.580645161290323,8385,10091,47,81,17,285,4,127,15,4
"22","2020-03-29",70,1,28,196,775,0.580645161290323,8385,10091,47,81,16,301,5,132,9,5
"23","2020-03-30",68,1,22,197,775,0.580645161290323,8385,10091,47,81,17,318,2,134,12,2
"24","2020-03-31",66,1,21,187,775,0.580645161290323,8385,10091,47,81,12,330,3,137,8,3
"25","2020-04-01",64,1,28,181,775,0.580645161290323,8385,10091,47,81,8,338,7,144,4,7
"26","2020-04-02",60,1,35,181,775,0.580645161290323,8385,10091,47,81,16,354,10,154,12,10
"27","2020-04-03",58,1,32,174,775,0.580645161290323,8385,10091,47,81,10,364,6,160,6,6
"28","2020-04-04",59,1,28,168,775,0.580645161290323,8385,10091,47,81,12,376,2,162,6,2
"29","2020-04-05",55,1,25,161,775,0.580645161290323,8385,10091,47,81,15,391,3,165,7,3
"30","2020-04-06",54,1,24,157,775,0.580645161290323,8385,10091,47,81,16,407,3,168,10,3
"31","2020-04-07",52,1,22,150,775,0.580645161290323,8385,10091,47,81,9,416,3,171,5,3
"32","2020-04-08",51,1,27,149,775,0.580645161290323,8385,10091,47,81,12,428,4,175,6,4
"33","2020-04-09",50,1,24,144,775,0.580645161290323,8385,10091,47,81,8,436,4,179,6,4
"34","2020-04-10",46,1,19,143,775,0.580645161290323,8385,10091,47,81,13,449,3,182,6,3
"35","2020-04-11",41,1,20,137,775,0.580645161290323,8385,10091,47,81,10,459,4,186,9,4
"36","2020-04-12",39,1,20,132,775,0.580645161290323,8385,10091,47,81,9,468,3,189,7,3
"37","2020-04-13",38,1,22,131,775,0.580645161290323,8385,10091,47,81,15,483,4,193,12,4
"38","2020-04-14",37,1,23,117,775,0.580645161290323,8385,10091,47,81,5,488,4,197,4,4
"39","2020-04-15",31,1,22,115,775,0.580645161290323,8385,10091,47,81,12,500,5,202,6,5
"40","2020-04-16",33,1,23,119,775,0.580645161290323,8385,10091,47,81,12,512,6,208,9,6
"41","2020-04-17",33,1,29,116,775,0.580645161290323,8385,10091,47,81,8,520,6,214,6,6
"42","2020-04-18",33,1,22,101,775,0.580645161290323,8385,10091,47,81,9,529,2,216,5,2
"43","2020-04-19",33,1,21,104,775,0.580645161290323,8385,10091,47,81,10,539,2,218,8,2
"44","2020-04-20",28,1,15,96,775,0.580645161290323,8385,10091,47,81,11,550,1,219,9,1
"45","2020-04-21",28,1,17,98,775,0.580645161290323,8385,10091,47,81,11,561,2,221,10,2
"46","2020-04-22",30,1,17,97,775,0.580645161290323,8385,10091,47,81,5,566,3,224,2,3
"47","2020-04-23",29,1,20,102,775,0.580645161290323,8385,10091,47,81,9,575,6,230,7,6
"48","2020-04-24",36,1,15,97,775,0.580645161290323,8385,10091,47,81,6,581,1,231,4,1
"49","2020-04-25",39,1,14,97,775,0.580645161290323,8385,10091,47,81,8,589,1,232,6,1
"50","2020-04-26",30,1,11,101,775,0.580645161290323,8385,10091,47,81,10,599,NA,NA,9,NA
"51","2020-04-27",35,1,13,97,775,0.580645161290323,8385,10091,47,81,6,605,2,234,4,2
"52","2020-04-28",33,1,13,91,775,0.580645161290323,8385,10091,47,81,6,611,NA,NA,3,NA
"53","2020-04-29",33,1,10,80,775,0.580645161290323,8385,10091,47,81,3,614,1,235,2,1
"54","2020-04-30",31,1,7,75,775,0.580645161290323,8385,10091,47,81,4,618,NA,NA,3,NA
"55","2020-05-01",27,1,9,72,775,0.580645161290323,8385,10091,47,81,7,625,3,238,6,3
"56","2020-05-02",22,1,9,67,775,0.580645161290323,8385,10091,47,81,5,630,1,239,2,1
"57","2020-05-03",27,1,6,67,775,0.580645161290323,8385,10091,47,81,8,638,1,240,6,1
"58","2020-05-04",25,1,4,60,775,0.580645161290323,8385,10091,47,81,6,644,1,241,3,1
"59","2020-05-05",23,1,5,61,775,0.580645161290323,8385,10091,47,81,4,648,NA,NA,3,NA
"60","2020-05-06",23,1,5,57,775,0.580645161290323,8385,10091,47,81,3,651,3,244,NA,3
"61","2020-05-07",24,1,4,61,775,0.580645161290323,8385,10091,47,81,7,658,1,245,4,1
"62","2020-05-08",26,1,3,57,775,0.580645161290323,8385,10091,47,81,4,662,NA,NA,3,NA
"63","2020-05-09",32,1,3,53,775,0.580645161290323,8385,10091,47,81,4,666,NA,NA,3,NA
"64","2020-05-10",27,1,3,52,775,0.580645161290323,8385,10091,47,81,3,669,NA,NA,1,NA
