"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-07",1,1,0,0,3931,0.466293563978631,8310,28072,229,509,NA,NA,NA,NA,NA,NA
"2","2020-03-08",1,1,0,0,3931,0.466293563978631,8310,28072,229,509,NA,NA,NA,NA,NA,NA
"3","2020-03-09",0,1,0,0,3931,0.466293563978631,8310,28072,229,509,NA,NA,NA,NA,NA,NA
"4","2020-03-10",0,1,0,0,3931,0.466293563978631,8310,28072,229,509,NA,NA,NA,NA,NA,NA
"5","2020-03-11",0,1,0,0,3931,0.466293563978631,8310,28072,229,509,19,19,9,9,1,9
"6","2020-03-12",0,1,0,0,3931,0.466293563978631,8310,28072,229,509,28,47,7,16,2,7
"7","2020-03-13",3,1,36,73,3931,0.466293563978631,8310,28072,229,509,26,73,10,26,2,10
"8","2020-03-14",14,1,43,101,3931,0.466293563978631,8310,28072,229,509,28,101,14,40,7,14
"9","2020-03-15",14,1,39,128,3931,0.466293563978631,8310,28072,229,509,27,128,3,43,10,3
"10","2020-03-16",16,1,50,148,3931,0.466293563978631,8310,28072,229,509,20,148,15,58,5,15
"11","2020-03-17",23,1,50,188,3931,0.466293563978631,8310,28072,229,509,40,188,5,63,11,5
"12","2020-03-18",27,1,53,225,3931,0.466293563978631,8310,28072,229,509,41,229,6,69,14,6
"13","2020-03-19",38,1,54,265,3931,0.466293563978631,8310,28072,229,509,43,272,9,78,14,9
"14","2020-03-20",45,1,57,302,3931,0.466293563978631,8310,28072,229,509,42,314,12,90,21,12
"15","2020-03-21",57,1,55,334,3931,0.466293563978631,8310,28072,229,509,49,363,7,97,27,7
"16","2020-03-22",93,1,51,372,3931,0.466293563978631,8310,28072,229,509,48,411,3,100,27,3
"17","2020-03-23",97,1,61,399,3931,0.466293563978631,8310,28072,229,509,44,455,16,116,27,16
"18","2020-03-24",101,1,73,417,3931,0.466293563978631,8310,28072,229,509,37,492,19,135,19,19
"19","2020-03-25",122,1,80,446,3931,0.466293563978631,8310,28072,229,509,55,547,21,156,27,21
"20","2020-03-26",124,1,89,458,3931,0.466293563978631,8310,28072,229,509,43,590,22,178,25,22
"21","2020-03-27",146,1,99,482,3931,0.466293563978631,8310,28072,229,509,59,649,22,200,34,22
"22","2020-03-28",169,1,90,485,3931,0.466293563978631,8310,28072,229,509,39,688,12,212,19,12
"23","2020-03-29",155,1,98,477,3931,0.466293563978631,8310,28072,229,509,38,726,19,231,18,19
"24","2020-03-30",148,1,90,485,3931,0.466293563978631,8310,28072,229,509,58,784,12,243,27,12
"25","2020-03-31",147,1,93,496,3931,0.466293563978631,8310,28072,229,509,49,833,15,258,30,15
"26","2020-04-01",141,1,87,507,3931,0.466293563978631,8310,28072,229,509,49,882,16,274,23,16
"27","2020-04-02",146,1,71,515,3931,0.466293563978631,8310,28072,229,509,42,924,6,280,20,6
"28","2020-04-03",185,1,72,535,3931,0.466293563978631,8310,28072,229,509,68,992,15,295,37,15
"29","2020-04-04",174,1,72,530,3931,0.466293563978631,8310,28072,229,509,47,1039,11,306,26,11
"30","2020-04-05",179,1,87,544,3931,0.466293563978631,8310,28072,229,509,53,1092,20,326,23,20
"31","2020-04-06",183,1,98,555,3931,0.466293563978631,8310,28072,229,509,55,1147,22,348,30,22
"32","2020-04-07",181,1,101,552,3931,0.466293563978631,8310,28072,229,509,50,1197,24,372,30,24
"33","2020-04-08",182,1,115,565,3931,0.466293563978631,8310,28072,229,509,60,1257,25,397,24,25
"34","2020-04-09",180,1,110,591,3931,0.466293563978631,8310,28072,229,509,67,1324,18,415,36,18
"35","2020-04-10",181,1,99,579,3931,0.466293563978631,8310,28072,229,509,38,1362,13,428,22,13
"36","2020-04-11",212,1,105,593,3931,0.466293563978631,8310,28072,229,509,65,1427,21,449,37,21
"37","2020-04-12",189,1,108,590,3931,0.466293563978631,8310,28072,229,509,57,1484,19,468,27,19
"38","2020-04-13",190,1,96,606,3931,0.466293563978631,8310,28072,229,509,68,1552,11,479,31,11
"39","2020-04-14",192,1,99,604,3931,0.466293563978631,8310,28072,229,509,49,1601,15,494,22,15
"40","2020-04-15",195,1,108,610,3931,0.466293563978631,8310,28072,229,509,59,1660,31,525,30,31
"41","2020-04-16",202,1,97,623,3931,0.466293563978631,8310,28072,229,509,57,1717,12,537,27,12
"42","2020-04-17",226,1,109,635,3931,0.466293563978631,8310,28072,229,509,72,1789,20,557,43,20
"43","2020-04-18",201,1,98,645,3931,0.466293563978631,8310,28072,229,509,59,1848,20,577,24,20
"44","2020-04-19",221,1,103,658,3931,0.466293563978631,8310,28072,229,509,66,1914,16,593,24,16
"45","2020-04-20",212,1,112,663,3931,0.466293563978631,8310,28072,229,509,66,1980,16,609,37,16
"46","2020-04-21",207,1,105,649,3931,0.466293563978631,8310,28072,229,509,55,2035,12,621,27,12
"47","2020-04-22",216,1,109,640,3931,0.466293563978631,8310,28072,229,509,46,2081,13,634,22,13
"48","2020-04-23",207,1,101,635,3931,0.466293563978631,8310,28072,229,509,45,2126,8,642,21,8
"49","2020-04-24",223,1,105,633,3931,0.466293563978631,8310,28072,229,509,41,2167,12,654,19,12
"50","2020-04-25",231,1,102,625,3931,0.466293563978631,8310,28072,229,509,45,2212,15,669,23,15
"51","2020-04-26",215,1,126,622,3931,0.466293563978631,8310,28072,229,509,61,2273,37,706,25,37
"52","2020-04-27",218,1,122,616,3931,0.466293563978631,8310,28072,229,509,53,2326,25,731,32,25
"53","2020-04-28",204,1,122,604,3931,0.466293563978631,8310,28072,229,509,49,2375,28,759,19,28
"54","2020-04-29",192,1,123,611,3931,0.466293563978631,8310,28072,229,509,56,2431,28,787,26,28
"55","2020-04-30",197,1,136,604,3931,0.466293563978631,8310,28072,229,509,55,2486,29,816,24,29
"56","2020-05-01",201,1,121,580,3931,0.466293563978631,8310,28072,229,509,32,2518,11,827,14,11
"57","2020-05-02",206,1,115,563,3931,0.466293563978631,8310,28072,229,509,48,2566,19,846,22,19
"58","2020-05-03",198,1,115,551,3931,0.466293563978631,8310,28072,229,509,41,2607,17,863,21,17
"59","2020-05-04",196,1,110,548,3931,0.466293563978631,8310,28072,229,509,49,2656,14,877,23,14
"60","2020-05-05",185,1,99,537,3931,0.466293563978631,8310,28072,229,509,45,2701,16,893,29,16
"61","2020-05-06",180,1,90,536,3931,0.466293563978631,8310,28072,229,509,49,2750,7,900,18,7
"62","2020-05-07",181,1,77,533,3931,0.466293563978631,8310,28072,229,509,49,2799,7,907,29,7
"63","2020-05-08",183,1,88,526,3931,0.466293563978631,8310,28072,229,509,41,2840,18,925,17,18
"64","2020-05-09",188,1,109,511,3931,0.466293563978631,8310,28072,229,509,39,2879,28,953,20,28
"65","2020-05-10",163,1,102,509,3931,0.466293563978631,8310,28072,229,509,50,2929,14,967,32,14
"66","2020-05-11",159,1,87,502,3931,0.466293563978631,8310,28072,229,509,40,2969,16,983,19,16
"67","2020-05-12",162,1,96,517,3931,0.466293563978631,8310,28072,229,509,58,3027,24,1007,30,24
"68","2020-05-13",170,1,107,526,3931,0.466293563978631,8310,28072,229,509,59,3086,22,1029,34,22
"69","2020-05-14",168,1,111,510,3931,0.466293563978631,8310,28072,229,509,30,3116,22,1051,18,22
"70","2020-05-15",172,1,109,498,3931,0.466293563978631,8310,28072,229,509,30,3146,17,1068,20,17
"71","2020-05-16",167,1,100,488,3931,0.466293563978631,8310,28072,229,509,40,3186,9,1077,20,9
"72","2020-05-17",169,1,91,501,3931,0.466293563978631,8310,28072,229,509,40,3226,11,1088,21,11
"73","2020-05-18",178,1,107,482,3931,0.466293563978631,8310,28072,229,509,27,3253,23,1111,12,23
"74","2020-05-19",179,1,118,460,3931,0.466293563978631,8310,28072,229,509,28,3281,24,1135,9,24
"75","2020-05-20",178,1,122,449,3931,0.466293563978631,8310,28072,229,509,42,3323,19,1154,27,19
"76","2020-05-21",180,1,104,434,3931,0.466293563978631,8310,28072,229,509,26,3349,7,1161,10,7
"77","2020-05-22",153,1,108,407,3931,0.466293563978631,8310,28072,229,509,18,3367,21,1182,12,21
"78","2020-05-23",151,1,109,391,3931,0.466293563978631,8310,28072,229,509,30,3397,23,1205,14,23
"79","2020-05-24",148,1,109,369,3931,0.466293563978631,8310,28072,229,509,26,3423,13,1218,15,13
"80","2020-05-25",131,1,96,357,3931,0.466293563978631,8310,28072,229,509,26,3449,15,1233,16,15
"81","2020-05-26",125,1,94,322,3931,0.466293563978631,8310,28072,229,509,14,3463,17,1250,8,17
"82","2020-05-27",115,1,103,309,3931,0.466293563978631,8310,28072,229,509,29,3492,22,1272,21,22
"83","2020-05-28",108,1,106,292,3931,0.466293563978631,8310,28072,229,509,23,3515,19,1291,12,19
"84","2020-05-29",110,1,100,287,3931,0.466293563978631,8310,28072,229,509,25,3540,21,1312,13,21
"85","2020-05-30",96,1,100,285,3931,0.466293563978631,8310,28072,229,509,27,3567,19,1331,16,19
"86","2020-05-31",109,1,98,260,3931,0.466293563978631,8310,28072,229,509,13,3580,18,1349,4,18
"87","2020-06-01",101,1,99,263,3931,0.466293563978631,8310,28072,229,509,17,3597,16,1365,8,16
"88","2020-06-02",91,1,98,256,3931,0.466293563978631,8310,28072,229,509,18,3615,14,1379,11,14
"89","2020-06-03",89,1,94,239,3931,0.466293563978631,8310,28072,229,509,20,3635,13,1392,7,13
"90","2020-06-04",86,1,101,238,3931,0.466293563978631,8310,28072,229,509,25,3660,23,1415,8,23
"91","2020-06-05",87,1,94,237,3931,0.466293563978631,8310,28072,229,509,21,3681,15,1430,11,15
"92","2020-06-06",90,1,83,227,3931,0.466293563978631,8310,28072,229,509,19,3700,7,1437,10,7
"93","2020-06-07",66,1,78,222,3931,0.466293563978631,8310,28072,229,509,15,3715,14,1451,8,14
"94","2020-03-14",2,2,31,47,4653,0.790242854072641,8340,31010,286,302,19,82,5,21,4,5
"95","2020-03-15",5,2,30,64,4653,0.790242854072641,8340,31010,286,302,20,102,7,28,8,7
"96","2020-03-16",5,2,45,82,4653,0.790242854072641,8340,31010,286,302,25,127,10,38,8,10
"97","2020-03-17",8,2,48,107,4653,0.790242854072641,8340,31010,286,302,22,149,9,47,10,9
"98","2020-03-18",15,2,41,130,4653,0.790242854072641,8340,31010,286,302,30,179,8,55,10,8
"99","2020-03-19",19,2,37,149,4653,0.790242854072641,8340,31010,286,302,38,217,17,72,16,17
"100","2020-03-20",27,2,33,173,4653,0.790242854072641,8340,31010,286,302,28,245,12,84,12,12
"101","2020-03-21",43,2,35,188,4653,0.790242854072641,8340,31010,286,302,35,280,22,106,17,22
"102","2020-03-22",54,2,37,220,4653,0.790242854072641,8340,31010,286,302,21,301,12,118,16,12
"103","2020-03-23",56,2,44,237,4653,0.790242854072641,8340,31010,286,302,32,333,13,131,13,13
"104","2020-03-24",65,2,56,263,4653,0.790242854072641,8340,31010,286,302,47,380,9,140,28,9
"105","2020-03-25",67,2,61,284,4653,0.790242854072641,8340,31010,286,302,33,413,15,155,17,15
"106","2020-03-26",71,2,46,313,4653,0.790242854072641,8340,31010,286,302,43,456,5,160,32,5
"107","2020-03-27",103,2,38,359,4653,0.790242854072641,8340,31010,286,302,41,497,12,172,29,12
"108","2020-03-28",106,2,37,394,4653,0.790242854072641,8340,31010,286,302,54,551,20,192,38,20
"109","2020-03-29",108,2,55,426,4653,0.790242854072641,8340,31010,286,302,53,604,6,198,30,6
"110","2020-03-30",111,2,69,459,4653,0.790242854072641,8340,31010,286,302,36,640,12,210,17,12
"111","2020-03-31",107,2,66,503,4653,0.790242854072641,8340,31010,286,302,46,686,19,229,24,19
"112","2020-04-01",123,2,69,558,4653,0.790242854072641,8340,31010,286,302,54,740,16,245,34,16
"113","2020-04-02",144,2,61,582,4653,0.790242854072641,8340,31010,286,302,60,800,23,268,33,23
"114","2020-04-03",157,2,61,629,4653,0.790242854072641,8340,31010,286,302,63,863,16,284,42,16
"115","2020-04-04",182,2,52,674,4653,0.790242854072641,8340,31010,286,302,62,925,10,294,37,10
"116","2020-04-05",204,2,52,708,4653,0.790242854072641,8340,31010,286,302,52,977,18,312,34,18
"117","2020-04-06",223,2,45,734,4653,0.790242854072641,8340,31010,286,302,50,1027,21,333,34,21
"118","2020-04-07",216,2,34,768,4653,0.790242854072641,8340,31010,286,302,66,1093,12,345,41,12
"119","2020-04-08",220,2,39,812,4653,0.790242854072641,8340,31010,286,302,60,1153,17,362,36,17
"120","2020-04-09",216,2,34,859,4653,0.790242854072641,8340,31010,286,302,61,1214,11,373,40,11
"121","2020-04-10",274,2,39,884,4653,0.790242854072641,8340,31010,286,302,53,1267,14,387,30,14
"122","2020-04-11",290,2,36,919,4653,0.790242854072641,8340,31010,286,302,68,1335,14,401,48,14
"123","2020-04-12",281,2,41,957,4653,0.790242854072641,8340,31010,286,302,72,1407,18,419,55,18
"124","2020-04-13",283,2,44,983,4653,0.790242854072641,8340,31010,286,302,67,1474,19,438,46,19
"125","2020-04-14",288,2,58,1012,4653,0.790242854072641,8340,31010,286,302,65,1539,15,453,42,15
"126","2020-04-15",302,2,65,1019,4653,0.790242854072641,8340,31010,286,302,63,1602,16,469,42,16
"127","2020-04-16",315,2,61,1033,4653,0.790242854072641,8340,31010,286,302,53,1655,16,485,34,16
"128","2020-04-17",372,2,69,1010,4653,0.790242854072641,8340,31010,286,302,64,1719,19,504,44,19
"129","2020-04-18",394,2,78,1001,4653,0.790242854072641,8340,31010,286,302,62,1781,16,520,43,16
"130","2020-04-19",364,2,80,1015,4653,0.790242854072641,8340,31010,286,302,51,1832,13,533,29,13
