"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-14",6,1,50,75,1361,0.606906686260103,8385,14677,68,127,23,75,8,37,11,8
"2","2020-03-15",8,1,58,95,1361,0.606906686260103,8385,14677,68,127,20,95,6,43,7,6
"3","2020-03-16",7,1,54,119,1361,0.606906686260103,8385,14677,68,127,24,119,16,59,16,16
"4","2020-03-17",13,1,51,149,1361,0.606906686260103,8385,14677,68,127,30,149,5,64,14,5
"5","2020-03-18",24,1,43,168,1361,0.606906686260103,8385,14677,68,127,22,171,7,71,12,7
"6","2020-03-19",27,1,43,187,1361,0.606906686260103,8385,14677,68,127,20,191,6,77,7,6
"7","2020-03-20",45,1,42,219,1361,0.606906686260103,8385,14677,68,127,36,227,7,84,18,7
"8","2020-03-21",50,1,63,241,1361,0.606906686260103,8385,14677,68,127,33,260,18,102,24,18
"9","2020-03-22",62,1,69,254,1361,0.606906686260103,8385,14677,68,127,23,283,16,118,11,16
"10","2020-03-23",65,1,82,259,1361,0.606906686260103,8385,14677,68,127,19,302,25,143,9,25
"11","2020-03-24",67,1,94,259,1361,0.606906686260103,8385,14677,68,127,22,324,24,167,15,24
"12","2020-03-25",61,1,96,269,1361,0.606906686260103,8385,14677,68,127,31,355,18,185,18,18
"13","2020-03-26",66,1,81,283,1361,0.606906686260103,8385,14677,68,127,40,395,16,201,30,16
"14","2020-03-27",71,1,93,291,1361,0.606906686260103,8385,14677,68,127,31,426,24,225,23,24
"15","2020-03-28",89,1,85,298,1361,0.606906686260103,8385,14677,68,127,26,452,7,232,14,7
"16","2020-03-29",84,1,66,303,1361,0.606906686260103,8385,14677,68,127,33,485,9,241,22,9
"17","2020-03-30",95,1,64,304,1361,0.606906686260103,8385,14677,68,127,30,515,10,251,19,10
"18","2020-03-31",95,1,68,304,1361,0.606906686260103,8385,14677,68,127,28,543,13,264,21,13
"19","2020-04-01",96,1,62,305,1361,0.606906686260103,8385,14677,68,127,30,573,8,272,18,8
"20","2020-04-02",101,1,59,299,1361,0.606906686260103,8385,14677,68,127,23,596,3,275,19,3
"21","2020-04-03",112,1,52,304,1361,0.606906686260103,8385,14677,68,127,28,624,9,284,21,9
"22","2020-04-04",104,1,45,306,1361,0.606906686260103,8385,14677,68,127,23,647,10,294,14,10
"23","2020-04-05",111,1,51,299,1361,0.606906686260103,8385,14677,68,127,26,673,10,304,20,10
"24","2020-04-06",93,1,47,294,1361,0.606906686260103,8385,14677,68,127,26,699,9,313,18,9
"25","2020-04-07",91,1,40,281,1361,0.606906686260103,8385,14677,68,127,26,725,4,317,24,4
"26","2020-04-08",98,1,31,275,1361,0.606906686260103,8385,14677,68,127,23,748,2,319,18,2
"27","2020-04-09",90,1,26,258,1361,0.606906686260103,8385,14677,68,127,18,766,3,322,12,3
"28","2020-04-10",86,1,34,250,1361,0.606906686260103,8385,14677,68,127,17,783,12,334,10,12
"29","2020-04-11",87,1,35,239,1361,0.606906686260103,8385,14677,68,127,18,801,7,341,13,7
