"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-12",1,1,105,179,8384,0.291746183206107,8520,40153,471,1269,103,179,37,71,8,37
"2","2020-03-13",9,1,121,266,8384,0.291746183206107,8520,40153,471,1269,87,266,25,96,11,25
"3","2020-03-14",23,1,133,369,8384,0.291746183206107,8520,40153,471,1269,104,370,31,127,22,31
"4","2020-03-15",51,1,169,473,8384,0.291746183206107,8520,40153,471,1269,104,474,49,176,29,49
"5","2020-03-16",66,1,181,576,8384,0.291746183206107,8520,40153,471,1269,103,577,37,213,25,37
"6","2020-03-17",82,1,204,712,8384,0.291746183206107,8520,40153,471,1269,139,716,56,269,51,56
"7","2020-03-18",111,1,205,830,8384,0.291746183206107,8520,40153,471,1269,127,843,32,301,42,32
"8","2020-03-19",143,1,183,965,8384,0.291746183206107,8520,40153,471,1269,156,999,18,319,70,18
"9","2020-03-20",225,1,180,1052,8384,0.291746183206107,8520,40153,471,1269,122,1121,21,340,44,21
"10","2020-03-21",311,1,204,1144,8384,0.291746183206107,8520,40153,471,1269,135,1256,55,395,49,55
"11","2020-03-22",325,1,213,1271,8384,0.291746183206107,8520,40153,471,1269,157,1413,35,430,82,35
"12","2020-03-23",338,1,201,1350,8384,0.291746183206107,8520,40153,471,1269,135,1548,22,452,62,22
"13","2020-03-24",357,1,213,1408,8384,0.291746183206107,8520,40153,471,1269,135,1683,45,497,65,45
"14","2020-03-25",390,1,198,1480,8384,0.291746183206107,8520,40153,471,1269,169,1852,26,523,78,26
"15","2020-03-26",416,1,203,1546,8384,0.291746183206107,8520,40153,471,1269,155,2007,45,568,70,45
"16","2020-03-27",490,1,202,1554,8384,0.291746183206107,8520,40153,471,1269,129,2136,35,603,59,35
"17","2020-03-28",460,1,217,1603,8384,0.291746183206107,8520,40153,471,1269,159,2295,39,642,78,39
"18","2020-03-29",529,1,231,1608,8384,0.291746183206107,8520,40153,471,1269,123,2418,59,701,51,59
"19","2020-03-30",535,1,263,1637,8384,0.291746183206107,8520,40153,471,1269,145,2563,55,756,68,55
"20","2020-03-31",524,1,249,1633,8384,0.291746183206107,8520,40153,471,1269,132,2695,34,790,66,34
"21","2020-04-01",513,1,253,1635,8384,0.291746183206107,8520,40153,471,1269,143,2838,45,835,68,45
"22","2020-04-02",512,1,281,1639,8384,0.291746183206107,8520,40153,471,1269,132,2970,59,894,63,59
"23","2020-04-03",601,1,278,1639,8384,0.291746183206107,8520,40153,471,1269,134,3104,54,948,52,54
"24","2020-04-04",623,1,286,1628,8384,0.291746183206107,8520,40153,471,1269,132,3236,50,998,61,50
"25","2020-04-05",538,1,284,1612,8384,0.291746183206107,8520,40153,471,1269,123,3359,50,1048,53,50
"26","2020-04-06",528,1,263,1607,8384,0.291746183206107,8520,40153,471,1269,135,3494,31,1079,49,31
"27","2020-04-07",523,1,249,1607,8384,0.291746183206107,8520,40153,471,1269,130,3624,24,1103,52,24
"28","2020-04-08",533,1,224,1613,8384,0.291746183206107,8520,40153,471,1269,136,3760,23,1126,57,23
"29","2020-04-09",524,1,218,1569,8384,0.291746183206107,8520,40153,471,1269,89,3849,40,1166,32,40
