"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-12",4,1,124,139,3950,0.498481012658228,8205,27214,196,387,82,140,53,84,8,53
"2","2020-03-13",7,1,141,224,3950,0.498481012658228,8205,27214,196,387,86,226,25,109,14,25
"3","2020-03-14",16,1,194,302,3950,0.498481012658228,8205,27214,196,387,78,304,54,163,20,54
"4","2020-03-15",42,1,208,391,3950,0.498481012658228,8205,27214,196,387,89,393,39,202,25,39
"5","2020-03-16",50,1,198,473,3950,0.498481012658228,8205,27214,196,387,83,476,26,228,32,26
"6","2020-03-17",61,1,191,579,3950,0.498481012658228,8205,27214,196,387,109,585,20,248,53,20
"7","2020-03-18",80,1,262,653,3950,0.498481012658228,8205,27214,196,387,85,670,87,335,37,87
"8","2020-03-19",104,1,274,733,3950,0.498481012658228,8205,27214,196,387,98,768,48,383,48,48
"9","2020-03-20",165,1,257,820,3950,0.498481012658228,8205,27214,196,387,114,882,33,416,65,33
"10","2020-03-21",242,1,222,924,3950,0.498481012658228,8205,27214,196,387,129,1011,30,446,67,30
"11","2020-03-22",258,1,220,992,3950,0.498481012658228,8205,27214,196,387,109,1120,39,485,70,39
"12","2020-03-23",268,1,208,1046,3950,0.498481012658228,8205,27214,196,387,107,1227,26,511,68,26
"13","2020-03-24",286,1,195,1062,3950,0.498481012658228,8205,27214,196,387,89,1316,14,525,51,14
"14","2020-03-25",311,1,175,1064,3950,0.498481012658228,8205,27214,196,387,94,1410,9,534,57,9
"15","2020-03-26",327,1,158,1031,3950,0.498481012658228,8205,27214,196,387,57,1467,21,555,40,21
"16","2020-03-27",377,1,172,1021,3950,0.498481012658228,8205,27214,196,387,75,1542,27,582,49,27
"17","2020-03-28",345,1,187,1007,3950,0.498481012658228,8205,27214,196,387,83,1625,41,623,44,41
"18","2020-03-29",370,1,219,1011,3950,0.498481012658228,8205,27214,196,387,88,1713,48,671,50,48
"19","2020-03-30",362,1,213,996,3950,0.498481012658228,8205,27214,196,387,86,1799,41,712,56,41
"20","2020-03-31",343,1,228,990,3950,0.498481012658228,8205,27214,196,387,87,1886,47,759,50,47
"21","2020-04-01",336,1,245,972,3950,0.498481012658228,8205,27214,196,387,75,1961,59,818,47,59
"22","2020-04-02",326,1,231,947,3950,0.498481012658228,8205,27214,196,387,76,2037,35,853,48,35
"23","2020-04-03",314,1,237,919,3950,0.498481012658228,8205,27214,196,387,65,2102,49,902,43,49
"24","2020-04-04",355,1,221,901,3950,0.498481012658228,8205,27214,196,387,80,2182,30,932,59,30
"25","2020-04-05",302,1,189,876,3950,0.498481012658228,8205,27214,196,387,63,2245,22,954,43,22
"26","2020-04-06",291,1,174,846,3950,0.498481012658228,8205,27214,196,387,53,2298,29,983,39,29
"27","2020-04-07",295,1,163,820,3950,0.498481012658228,8205,27214,196,387,48,2346,25,1008,25,25
"28","2020-04-08",279,1,150,791,3950,0.498481012658228,8205,27214,196,387,55,2401,19,1027,34,19
"29","2020-04-09",268,1,163,783,3950,0.498481012658228,8205,27214,196,387,65,2466,33,1060,39,33
"30","2020-04-10",280,1,171,747,3950,0.498481012658228,8205,27214,196,387,55,2521,42,1102,41,42
"31","2020-04-11",259,1,156,717,3950,0.498481012658228,8205,27214,196,387,52,2573,20,1122,34,20
"32","2020-04-12",263,1,156,682,3950,0.498481012658228,8205,27214,196,387,38,2611,44,1166,21,44
"33","2020-04-13",257,1,147,629,3950,0.498481012658228,8205,27214,196,387,36,2647,24,1190,21,24
"34","2020-04-14",239,1,157,592,3950,0.498481012658228,8205,27214,196,387,38,2685,43,1233,19,43
"35","2020-04-15",236,1,159,575,3950,0.498481012658228,8205,27214,196,387,44,2729,34,1267,23,34
"36","2020-04-16",235,1,161,539,3950,0.498481012658228,8205,27214,196,387,42,2771,26,1293,23,26
"37","2020-04-17",230,1,152,515,3950,0.498481012658228,8205,27214,196,387,29,2800,27,1320,18,27
"38","2020-04-18",221,1,130,492,3950,0.498481012658228,8205,27214,196,387,42,2842,12,1332,25,12
"39","2020-04-19",194,1,133,467,3950,0.498481012658228,8205,27214,196,387,28,2870,24,1356,12,24
"40","2020-04-20",178,1,128,446,3950,0.498481012658228,8205,27214,196,387,27,2897,21,1377,19,21
"41","2020-04-21",167,1,115,429,3950,0.498481012658228,8205,27214,196,387,36,2933,9,1386,20,9
"42","2020-04-22",154,1,114,405,3950,0.498481012658228,8205,27214,196,387,20,2953,20,1406,13,20
"43","2020-04-23",145,1,109,381,3950,0.498481012658228,8205,27214,196,387,34,2987,16,1422,26,16
"44","2020-04-24",135,1,97,360,3950,0.498481012658228,8205,27214,196,387,20,3007,7,1429,14,7
"45","2020-04-25",128,1,88,350,3950,0.498481012658228,8205,27214,196,387,26,3033,15,1444,11,15
"46","2020-04-26",117,1,84,333,3950,0.498481012658228,8205,27214,196,387,25,3058,15,1459,13,15
"47","2020-04-27",109,1,80,324,3950,0.498481012658228,8205,27214,196,387,30,3088,11,1470,20,11
"48","2020-04-28",100,1,74,313,3950,0.498481012658228,8205,27214,196,387,26,3114,13,1483,13,13
"49","2020-04-29",109,1,67,299,3950,0.498481012658228,8205,27214,196,387,22,3136,11,1494,12,11
"50","2020-04-30",106,1,65,280,3950,0.498481012658228,8205,27214,196,387,17,3153,9,1503,8,9
"51","2020-05-01",83,1,57,273,3950,0.498481012658228,8205,27214,196,387,21,3174,1,1504,9,1
"52","2020-05-02",79,1,52,263,3950,0.498481012658228,8205,27214,196,387,19,3193,5,1509,12,5
"53","2020-05-03",73,1,59,266,3950,0.498481012658228,8205,27214,196,387,20,3213,9,1518,12,9
"54","2020-05-04",74,1,59,255,3950,0.498481012658228,8205,27214,196,387,20,3233,11,1529,8,11
"55","2020-05-05",76,1,51,259,3950,0.498481012658228,8205,27214,196,387,22,3255,2,1531,12,2
"56","2020-05-06",69,1,51,247,3950,0.498481012658228,8205,27214,196,387,19,3274,10,1541,7,10
"57","2020-05-07",68,1,51,233,3950,0.498481012658228,8205,27214,196,387,17,3291,8,1549,12,8
"58","2020-05-08",77,1,52,217,3950,0.498481012658228,8205,27214,196,387,17,3308,6,1555,9,6
"59","2020-05-09",79,1,50,208,3950,0.498481012658228,8205,27214,196,387,8,3316,9,1564,3,9
"60","2020-05-10",80,1,48,202,3950,0.498481012658228,8205,27214,196,387,12,3328,4,1568,7,4
"61","2020-05-11",78,1,41,200,3950,0.498481012658228,8205,27214,196,387,18,3346,3,1571,10,3
"62","2020-05-12",67,1,39,192,3950,0.498481012658228,8205,27214,196,387,15,3361,4,1575,6,4
"63","2020-05-13",64,1,41,191,3950,0.498481012658228,8205,27214,196,387,18,3379,5,1580,7,5
"64","2020-05-14",60,1,42,183,3950,0.498481012658228,8205,27214,196,387,13,3392,5,1585,3,5
"65","2020-05-15",58,1,32,175,3950,0.498481012658228,8205,27214,196,387,9,3401,3,1588,3,3
"66","2020-05-16",59,1,31,169,3950,0.498481012658228,8205,27214,196,387,22,3423,4,1592,8,4
"67","2020-05-17",55,1,31,170,3950,0.498481012658228,8205,27214,196,387,17,3440,6,1598,7,6
"68","2020-05-18",45,1,28,169,3950,0.498481012658228,8205,27214,196,387,10,3450,5,1603,3,5
"69","2020-05-19",47,1,24,163,3950,0.498481012658228,8205,27214,196,387,16,3466,1,1604,9,1
"70","2020-05-20",48,1,21,170,3950,0.498481012658228,8205,27214,196,387,17,3483,NA,NA,7,NA
"71","2020-05-21",50,1,20,171,3950,0.498481012658228,8205,27214,196,387,17,3500,NA,NA,5,NA
"72","2020-05-22",55,1,18,169,3950,0.498481012658228,8205,27214,196,387,17,3517,NA,NA,6,NA
"73","2020-05-23",52,1,15,165,3950,0.498481012658228,8205,27214,196,387,12,3529,NA,NA,6,NA
"74","2020-05-24",47,1,14,175,3950,0.498481012658228,8205,27214,196,387,24,3553,NA,NA,12,NA
"75","2020-05-25",48,1,13,172,3950,0.498481012658228,8205,27214,196,387,13,3566,NA,NA,6,NA
"76","2020-05-26",49,1,15,172,3950,0.498481012658228,8205,27214,196,387,16,3582,2,1606,3,2
"77","2020-05-27",49,1,18,170,3950,0.498481012658228,8205,27214,196,387,10,3592,3,1609,3,3
"78","2020-05-28",49,1,17,170,3950,0.498481012658228,8205,27214,196,387,18,3610,2,1611,9,2
"79","2020-05-29",46,1,21,168,3950,0.498481012658228,8205,27214,196,387,15,3625,3,1614,2,3
"80","2020-05-30",46,1,22,163,3950,0.498481012658228,8205,27214,196,387,10,3635,3,1617,2,3
"81","2020-05-31",45,1,23,163,3950,0.498481012658228,8205,27214,196,387,20,3655,4,1621,8,4
"82","2020-06-01",47,1,20,161,3950,0.498481012658228,8205,27214,196,387,13,3668,NA,NA,4,NA
"83","2020-06-02",43,1,20,162,3950,0.498481012658228,8205,27214,196,387,15,3683,2,1623,1,2
"84","2020-06-03",39,1,17,166,3950,0.498481012658228,8205,27214,196,387,14,3697,1,1624,9,1
"85","2020-06-04",41,1,13,160,3950,0.498481012658228,8205,27214,196,387,11,3708,1,1625,3,1
"86","2020-06-05",43,1,13,164,3950,0.498481012658228,8205,27214,196,387,21,3729,1,1626,13,1
"87","2020-06-06",47,1,13,155,3950,0.498481012658228,8205,27214,196,387,12,3741,3,1629,2,3
"88","2020-06-07",52,1,16,156,3950,0.498481012658228,8205,27214,196,387,17,3758,4,1633,6,4
"89","2020-03-13",2,2,106,115,4726,0.806390181972069,8310,29086,272,397,66,172,46,114,6,46
"90","2020-03-14",4,2,152,149,4726,0.806390181972069,8310,29086,272,397,87,259,63,177,22,63
"91","2020-03-15",15,2,149,201,4726,0.806390181972069,8310,29086,272,397,57,316,40,217,16,40
"92","2020-03-16",21,2,167,254,4726,0.806390181972069,8310,29086,272,397,59,375,34,251,23,34
"93","2020-03-17",29,2,198,312,4726,0.806390181972069,8310,29086,272,397,63,438,48,299,28,48
"94","2020-03-18",43,2,202,387,4726,0.806390181972069,8310,29086,272,397,71,509,46,345,30,46
"95","2020-03-19",58,2,231,451,4726,0.806390181972069,8310,29086,272,397,76,585,39,384,42,39
"96","2020-03-20",78,2,226,526,4726,0.806390181972069,8310,29086,272,397,64,649,49,433,35,49
"97","2020-03-21",164,2,243,597,4726,0.806390181972069,8310,29086,272,397,72,721,28,461,48,28
"98","2020-03-22",175,2,260,670,4726,0.806390181972069,8310,29086,272,397,77,798,27,488,37,27
"99","2020-03-23",177,2,251,726,4726,0.806390181972069,8310,29086,272,397,81,879,38,526,48,38
"100","2020-03-24",187,2,246,790,4726,0.806390181972069,8310,29086,272,397,75,954,38,564,48,38
