"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-08",1,1,0,0,5740,0.380487804878049,2025,7635,539,710,NA,NA,NA,NA,NA,NA
"2","2020-03-09",1,1,0,0,5740,0.380487804878049,2025,7635,539,710,NA,NA,NA,NA,NA,NA
"3","2020-03-10",0,1,0,0,5740,0.380487804878049,2025,7635,539,710,1,1,NA,NA,1,NA
"4","2020-03-11",0,1,0,0,5740,0.380487804878049,2025,7635,539,710,32,33,10,10,NA,10
"5","2020-03-12",1,1,42,72,5740,0.380487804878049,2025,7635,539,710,39,72,17,27,3,17
"6","2020-03-13",6,1,72,125,5740,0.380487804878049,2025,7635,539,710,53,125,25,52,8,25
"7","2020-03-14",21,1,92,171,5740,0.380487804878049,2025,7635,539,710,46,171,28,80,10,28
"8","2020-03-15",27,1,98,227,5740,0.380487804878049,2025,7635,539,710,56,227,18,98,18,18
"9","2020-03-16",34,1,106,295,5740,0.380487804878049,2025,7635,539,710,69,296,20,118,20,20
"10","2020-03-17",45,1,118,363,5740,0.380487804878049,2025,7635,539,710,69,365,41,159,20,41
"11","2020-03-18",50,1,118,425,5740,0.380487804878049,2025,7635,539,710,67,432,22,181,15,22
"12","2020-03-19",62,1,113,496,5740,0.380487804878049,2025,7635,539,710,79,511,11,192,36,11
"13","2020-03-20",101,1,105,553,5740,0.380487804878049,2025,7635,539,710,72,583,7,199,31,7
"14","2020-03-21",140,1,107,620,5740,0.380487804878049,2025,7635,539,710,82,665,20,219,39,20
"15","2020-03-22",161,1,105,690,5740,0.380487804878049,2025,7635,539,710,96,761,22,241,54,22
"16","2020-03-23",168,1,98,742,5740,0.380487804878049,2025,7635,539,710,83,844,16,257,42,16
"17","2020-03-24",179,1,137,780,5740,0.380487804878049,2025,7635,539,710,89,933,47,304,43,47
"18","2020-03-25",200,1,133,826,5740,0.380487804878049,2025,7635,539,710,104,1037,28,332,50,28
"19","2020-03-26",210,1,148,863,5740,0.380487804878049,2025,7635,539,710,88,1125,36,368,42,36
"20","2020-03-27",252,1,145,884,5740,0.380487804878049,2025,7635,539,710,83,1208,26,394,42,26
"21","2020-03-28",283,1,135,921,5740,0.380487804878049,2025,7635,539,710,89,1297,20,414,39,20
"22","2020-03-29",285,1,132,927,5740,0.380487804878049,2025,7635,539,710,88,1385,13,427,49,13
"23","2020-03-30",276,1,126,951,5740,0.380487804878049,2025,7635,539,710,95,1480,21,448,51,21
"24","2020-03-31",283,1,139,989,5740,0.380487804878049,2025,7635,539,710,99,1579,24,472,53,24
"25","2020-04-01",301,1,152,1028,5740,0.380487804878049,2025,7635,539,710,107,1686,38,510,58,38
"26","2020-04-02",309,1,170,999,5740,0.380487804878049,2025,7635,539,710,76,1762,46,556,40,46
"27","2020-04-03",346,1,185,1010,5740,0.380487804878049,2025,7635,539,710,83,1845,47,603,41,47
"28","2020-04-04",340,1,190,1026,5740,0.380487804878049,2025,7635,539,710,104,1949,35,638,60,35
"29","2020-04-05",341,1,168,990,5740,0.380487804878049,2025,7635,539,710,64,2013,29,667,33,29
"30","2020-04-06",345,1,160,996,5740,0.380487804878049,2025,7635,539,710,93,2106,21,688,47,21
"31","2020-04-07",330,1,132,982,5740,0.380487804878049,2025,7635,539,710,73,2179,19,707,33,19
"32","2020-04-08",312,1,118,976,5740,0.380487804878049,2025,7635,539,710,83,2262,11,718,30,11
"33","2020-04-09",324,1,125,968,5740,0.380487804878049,2025,7635,539,710,77,2339,24,742,31,24
"34","2020-04-10",348,1,148,942,5740,0.380487804878049,2025,7635,539,710,73,2412,42,784,38,42
"35","2020-04-11",356,1,160,916,5740,0.380487804878049,2025,7635,539,710,60,2472,30,814,21,30
"36","2020-04-12",317,1,154,920,5740,0.380487804878049,2025,7635,539,710,95,2567,19,833,39,19
"37","2020-04-13",297,1,159,910,5740,0.380487804878049,2025,7635,539,710,83,2650,34,867,39,34
"38","2020-04-14",298,1,176,897,5740,0.380487804878049,2025,7635,539,710,71,2721,47,914,27,47
"39","2020-04-15",303,1,187,891,5740,0.380487804878049,2025,7635,539,710,84,2805,30,944,29,30
"40","2020-04-16",299,1,165,900,5740,0.380487804878049,2025,7635,539,710,89,2894,21,965,39,21
"41","2020-04-17",306,1,147,893,5740,0.380487804878049,2025,7635,539,710,67,2961,17,982,29,17
"42","2020-04-18",325,1,151,893,5740,0.380487804878049,2025,7635,539,710,77,3038,24,1006,32,24
"43","2020-04-19",324,1,161,906,5740,0.380487804878049,2025,7635,539,710,80,3118,17,1023,26,17
"44","2020-04-20",323,1,164,915,5740,0.380487804878049,2025,7635,539,710,69,3187,34,1057,27,34
"45","2020-04-21",321,1,168,900,5740,0.380487804878049,2025,7635,539,710,70,3257,31,1088,29,31
"46","2020-04-22",317,1,186,867,5740,0.380487804878049,2025,7635,539,710,80,3337,43,1131,38,43
"47","2020-04-23",306,1,181,854,5740,0.380487804878049,2025,7635,539,710,64,3401,22,1153,26,22
"48","2020-04-24",320,1,183,843,5740,0.380487804878049,2025,7635,539,710,63,3464,22,1175,27,22
"49","2020-04-25",273,1,168,842,5740,0.380487804878049,2025,7635,539,710,67,3531,15,1190,30,15
"50","2020-04-26",244,1,151,839,5740,0.380487804878049,2025,7635,539,710,73,3604,5,1195,29,5
"51","2020-04-27",241,1,137,806,5740,0.380487804878049,2025,7635,539,710,60,3664,13,1208,20,13
"52","2020-04-28",234,1,151,795,5740,0.380487804878049,2025,7635,539,710,63,3727,35,1243,25,35
"53","2020-04-29",245,1,184,774,5740,0.380487804878049,2025,7635,539,710,56,3783,55,1298,27,55
"54","2020-04-30",247,1,206,776,5740,0.380487804878049,2025,7635,539,710,61,3844,46,1344,25,46
"55","2020-05-01",245,1,200,758,5740,0.380487804878049,2025,7635,539,710,50,3894,31,1375,24,31
"56","2020-05-02",255,1,191,757,5740,0.380487804878049,2025,7635,539,710,75,3969,25,1400,25,25
"57","2020-05-03",260,1,198,746,5740,0.380487804878049,2025,7635,539,710,60,4029,33,1433,23,33
"58","2020-05-04",253,1,215,726,5740,0.380487804878049,2025,7635,539,710,70,4099,42,1475,29,42
"59","2020-05-05",246,1,225,725,5740,0.380487804878049,2025,7635,539,710,48,4147,52,1527,21,52
"60","2020-05-06",234,1,232,715,5740,0.380487804878049,2025,7635,539,710,54,4201,41,1568,21,41
"61","2020-05-07",227,1,214,686,5740,0.380487804878049,2025,7635,539,710,44,4245,26,1594,17,26
"62","2020-05-08",235,1,199,687,5740,0.380487804878049,2025,7635,539,710,68,4313,28,1622,27,28
"63","2020-05-09",252,1,182,671,5740,0.380487804878049,2025,7635,539,710,52,4365,15,1637,18,15
"64","2020-05-10",210,1,174,651,5740,0.380487804878049,2025,7635,539,710,47,4412,20,1657,14,20
"65","2020-05-11",209,1,150,645,5740,0.380487804878049,2025,7635,539,710,55,4467,10,1667,26,10
"66","2020-05-12",205,1,147,621,5740,0.380487804878049,2025,7635,539,710,44,4511,18,1685,18,18
"67","2020-05-13",194,1,144,595,5740,0.380487804878049,2025,7635,539,710,38,4549,12,1697,15,12
"68","2020-05-14",195,1,130,572,5740,0.380487804878049,2025,7635,539,710,35,4584,11,1708,15,11
"69","2020-05-15",205,1,122,550,5740,0.380487804878049,2025,7635,539,710,39,4623,11,1719,14,11
"70","2020-05-16",202,1,113,527,5740,0.380487804878049,2025,7635,539,710,43,4666,11,1730,11,11
"71","2020-05-17",184,1,121,505,5740,0.380487804878049,2025,7635,539,710,34,4700,12,1742,14,12
"72","2020-05-18",174,1,121,488,5740,0.380487804878049,2025,7635,539,710,45,4745,14,1756,9,14
"73","2020-05-19",173,1,115,478,5740,0.380487804878049,2025,7635,539,710,36,4781,15,1771,11,15
"74","2020-05-20",185,1,130,453,5740,0.380487804878049,2025,7635,539,710,30,4811,33,1804,9,33
"75","2020-05-21",177,1,141,437,5740,0.380487804878049,2025,7635,539,710,23,4834,21,1825,13,21
"76","2020-05-22",181,1,160,431,5740,0.380487804878049,2025,7635,539,710,32,4866,38,1863,10,38
"77","2020-05-23",166,1,168,408,5740,0.380487804878049,2025,7635,539,710,17,4883,31,1894,3,31
"78","2020-05-24",164,1,176,388,5740,0.380487804878049,2025,7635,539,710,27,4910,32,1926,8,32
"79","2020-05-25",159,1,175,354,5740,0.380487804878049,2025,7635,539,710,16,4926,33,1959,8,33
"80","2020-05-26",152,1,155,349,5740,0.380487804878049,2025,7635,539,710,32,4958,22,1981,10,22
"81","2020-05-27",135,1,135,321,5740,0.380487804878049,2025,7635,539,710,17,4975,8,1989,9,8
"82","2020-05-28",127,1,161,310,5740,0.380487804878049,2025,7635,539,710,23,4998,38,2027,8,38
"83","2020-05-29",93,1,168,299,5740,0.380487804878049,2025,7635,539,710,23,5021,33,2060,10,33
"84","2020-05-30",82,1,173,290,5740,0.380487804878049,2025,7635,539,710,20,5041,32,2092,10,32
"85","2020-05-31",75,1,187,277,5740,0.380487804878049,2025,7635,539,710,22,5063,45,2137,6,45
"86","2020-06-01",70,1,206,259,5740,0.380487804878049,2025,7635,539,710,18,5081,48,2185,4,48
"87","2020-06-02",65,1,204,239,5740,0.380487804878049,2025,7635,539,710,19,5100,40,2225,7,40
"88","2020-06-03",65,1,218,234,5740,0.380487804878049,2025,7635,539,710,17,5117,43,2268,7,43
"89","2020-06-04",69,1,206,227,5740,0.380487804878049,2025,7635,539,710,17,5134,24,2292,8,24
"90","2020-06-05",70,1,202,216,5740,0.380487804878049,2025,7635,539,710,12,5146,30,2322,3,30
"91","2020-06-06",70,1,187,219,5740,0.380487804878049,2025,7635,539,710,24,5170,18,2340,8,18
"92","2020-06-07",84,1,180,221,5740,0.380487804878049,2025,7635,539,710,18,5188,31,2371,3,31
"93","2020-03-13",3,2,43,85,5803,0.701361364811305,2085,7749,580,527,37,104,11,34,5,11
"94","2020-03-14",15,2,38,119,5803,0.701361364811305,2085,7749,580,527,43,147,11,45,6,11
"95","2020-03-15",19,2,38,161,5803,0.701361364811305,2085,7749,580,527,34,181,5,50,7,5
"96","2020-03-16",17,2,49,201,5803,0.701361364811305,2085,7749,580,527,45,226,17,67,11,17
"97","2020-03-17",21,2,56,244,5803,0.701361364811305,2085,7749,580,527,39,265,8,75,11,8
"98","2020-03-18",30,2,63,305,5803,0.701361364811305,2085,7749,580,527,68,333,24,99,37,24
"99","2020-03-19",35,2,68,354,5803,0.701361364811305,2085,7749,580,527,59,392,16,115,31,16
"100","2020-03-20",62,2,70,427,5803,0.701361364811305,2085,7749,580,527,65,457,12,127,30,12
"101","2020-03-21",75,2,78,466,5803,0.701361364811305,2085,7749,580,527,57,514,19,146,22,19
