"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-13",6,1,68,123,2376,0.548400673400673,2145,5145,249,378,28,124,11,53,5,11
"2","2020-03-14",18,1,86,156,2376,0.548400673400673,2145,5145,249,378,33,157,22,75,5,22
"3","2020-03-15",26,1,87,195,2376,0.548400673400673,2145,5145,249,378,40,197,9,84,18,9
"4","2020-03-16",29,1,109,231,2376,0.548400673400673,2145,5145,249,378,37,234,29,113,14,29
"5","2020-03-17",33,1,132,276,2376,0.548400673400673,2145,5145,249,378,46,280,37,150,17,37
"6","2020-03-18",50,1,142,317,2376,0.548400673400673,2145,5145,249,378,49,329,33,183,20,33
"7","2020-03-19",67,1,173,353,2376,0.548400673400673,2145,5145,249,378,45,374,52,235,22,52
"8","2020-03-20",90,1,187,393,2376,0.548400673400673,2145,5145,249,378,57,431,41,276,26,41
"9","2020-03-21",92,1,186,430,2376,0.548400673400673,2145,5145,249,378,54,485,43,319,32,43
"10","2020-03-22",127,1,174,458,2376,0.548400673400673,2145,5145,249,378,48,533,33,352,23,33
"11","2020-03-23",134,1,203,476,2376,0.548400673400673,2145,5145,249,378,46,579,41,393,21,41
"12","2020-03-24",131,1,198,498,2376,0.548400673400673,2145,5145,249,378,56,635,30,423,31,30
"13","2020-03-25",133,1,205,513,2376,0.548400673400673,2145,5145,249,378,50,685,44,467,30,44
"14","2020-03-26",140,1,178,535,2376,0.548400673400673,2145,5145,249,378,64,749,32,499,33,32
"15","2020-03-27",173,1,160,532,2376,0.548400673400673,2145,5145,249,378,46,795,18,517,27,18
"16","2020-03-28",202,1,144,542,2376,0.548400673400673,2145,5145,249,378,51,846,12,529,34,12
"17","2020-03-29",181,1,111,552,2376,0.548400673400673,2145,5145,249,378,47,893,5,534,28,5
"18","2020-03-30",178,1,105,562,2376,0.548400673400673,2145,5145,249,378,46,939,19,553,31,19
"19","2020-03-31",190,1,94,567,2376,0.548400673400673,2145,5145,249,378,57,996,15,568,37,15
"20","2020-04-01",196,1,83,563,2376,0.548400673400673,2145,5145,249,378,37,1033,8,576,24,8
"21","2020-04-02",188,1,89,557,2376,0.548400673400673,2145,5145,249,378,45,1078,11,587,33,11
"22","2020-04-03",178,1,77,533,2376,0.548400673400673,2145,5145,249,378,34,1112,14,601,26,14
"23","2020-04-04",164,1,83,495,2376,0.548400673400673,2145,5145,249,378,35,1147,10,611,26,10
"24","2020-04-05",178,1,75,495,2376,0.548400673400673,2145,5145,249,378,47,1194,16,627,35,16
"25","2020-04-06",178,1,85,487,2376,0.548400673400673,2145,5145,249,378,41,1235,19,646,31,19
"26","2020-04-07",167,1,85,472,2376,0.548400673400673,2145,5145,249,378,29,1264,21,667,14,21
"27","2020-04-08",159,1,83,456,2376,0.548400673400673,2145,5145,249,378,42,1306,13,680,34,13
"28","2020-04-09",157,1,83,453,2376,0.548400673400673,2145,5145,249,378,45,1351,16,696,20,16
"29","2020-04-10",176,1,99,432,2376,0.548400673400673,2145,5145,249,378,31,1382,25,721,23,25
"30","2020-04-11",179,1,107,420,2376,0.548400673400673,2145,5145,249,378,34,1416,24,745,25,24
"31","2020-04-12",153,1,107,415,2376,0.548400673400673,2145,5145,249,378,39,1455,23,768,24,23
"32","2020-04-13",146,1,98,402,2376,0.548400673400673,2145,5145,249,378,24,1479,16,784,14,16
"33","2020-04-14",136,1,92,391,2376,0.548400673400673,2145,5145,249,378,31,1510,15,799,23,15
"34","2020-04-15",133,1,84,389,2376,0.548400673400673,2145,5145,249,378,35,1545,10,809,24,10
"35","2020-04-16",132,1,82,382,2376,0.548400673400673,2145,5145,249,378,37,1582,17,826,21,17
