"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-08",1,1,0,0,2399,0.516882034180909,2100,4959,275,296,NA,NA,NA,NA,NA,NA
"2","2020-03-09",1,1,0,0,2399,0.516882034180909,2100,4959,275,296,NA,NA,NA,NA,NA,NA
"3","2020-03-10",0,1,0,0,2399,0.516882034180909,2100,4959,275,296,NA,NA,NA,NA,NA,NA
"4","2020-03-11",0,1,0,0,2399,0.516882034180909,2100,4959,275,296,12,12,NA,NA,NA,NA
"5","2020-03-12",0,1,0,0,2399,0.516882034180909,2100,4959,275,296,9,21,4,4,1,4
"6","2020-03-13",1,1,8,30,2399,0.516882034180909,2100,4959,275,296,9,30,2,6,1,2
"7","2020-03-14",2,1,11,48,2399,0.516882034180909,2100,4959,275,296,18,48,1,7,4,1
"8","2020-03-15",5,1,13,57,2399,0.516882034180909,2100,4959,275,296,9,57,2,9,3,2
"9","2020-03-16",8,1,9,74,2399,0.516882034180909,2100,4959,275,296,17,74,NA,NA,10,NA
"10","2020-03-17",11,1,13,87,2399,0.516882034180909,2100,4959,275,296,13,87,6,15,3,6
"11","2020-03-18",15,1,18,101,2399,0.516882034180909,2100,4959,275,296,14,101,5,20,2,5
"12","2020-03-19",19,1,16,115,2399,0.516882034180909,2100,4959,275,296,16,117,3,23,6,3
"13","2020-03-20",22,1,19,130,2399,0.516882034180909,2100,4959,275,296,19,136,4,27,8,4
"14","2020-03-21",31,1,22,155,2399,0.516882034180909,2100,4959,275,296,29,165,6,33,13,6
"15","2020-03-22",35,1,20,167,2399,0.516882034180909,2100,4959,275,296,16,181,4,37,7,4
"16","2020-03-23",40,1,27,182,2399,0.516882034180909,2100,4959,275,296,24,205,6,43,12,6
"17","2020-03-24",45,1,29,205,2399,0.516882034180909,2100,4959,275,296,32,237,7,50,16,7
