"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-13",1,1,8,32,635,0.596850393700787,2070,2275,61,81,9,32,2,6,2,2
"2","2020-03-14",3,1,9,40,635,0.596850393700787,2070,2275,61,81,8,40,NA,NA,1,NA
"3","2020-03-15",6,1,8,47,635,0.596850393700787,2070,2275,61,81,7,47,2,8,NA,2
"4","2020-03-16",8,1,10,54,635,0.596850393700787,2070,2275,61,81,8,55,NA,NA,3,NA
"5","2020-03-17",9,1,9,64,635,0.596850393700787,2070,2275,61,81,11,66,2,10,4,2
"6","2020-03-18",10,1,18,75,635,0.596850393700787,2070,2275,61,81,12,78,6,16,8,6
"7","2020-03-19",11,1,17,81,635,0.596850393700787,2070,2275,61,81,9,87,3,19,4,3
"8","2020-03-20",16,1,21,91,635,0.596850393700787,2070,2275,61,81,14,101,5,24,7,5
"9","2020-03-21",22,1,13,103,635,0.596850393700787,2070,2275,61,81,15,116,1,25,9,1
"10","2020-03-22",24,1,22,108,635,0.596850393700787,2070,2275,61,81,12,128,7,32,5,7
"11","2020-03-23",23,1,26,123,635,0.596850393700787,2070,2275,61,81,20,148,6,38,13,6
"12","2020-03-24",26,1,32,123,635,0.596850393700787,2070,2275,61,81,8,156,9,47,6,9
"13","2020-03-25",26,1,35,126,635,0.596850393700787,2070,2275,61,81,10,166,10,57,7,10
"14","2020-03-26",28,1,32,122,635,0.596850393700787,2070,2275,61,81,9,175,7,64,7,7
"15","2020-03-27",37,1,33,122,635,0.596850393700787,2070,2275,61,81,11,186,3,67,6,3
"16","2020-03-28",38,1,33,122,635,0.596850393700787,2070,2275,61,81,12,198,8,75,5,8
"17","2020-03-29",40,1,35,126,635,0.596850393700787,2070,2275,61,81,11,209,9,84,7,9
"18","2020-03-30",39,1,34,118,635,0.596850393700787,2070,2275,61,81,10,219,8,92,6,8
"19","2020-03-31",41,1,35,116,635,0.596850393700787,2070,2275,61,81,15,234,6,98,7,6
"20","2020-04-01",43,1,33,119,635,0.596850393700787,2070,2275,61,81,11,245,6,104,9,6
"21","2020-04-02",44,1,36,125,635,0.596850393700787,2070,2275,61,81,13,258,6,110,7,6
"22","2020-04-03",42,1,34,127,635,0.596850393700787,2070,2275,61,81,6,264,5,115,4,5
"23","2020-04-04",47,1,34,125,635,0.596850393700787,2070,2275,61,81,12,276,4,119,9,4
"24","2020-04-05",39,1,32,122,635,0.596850393700787,2070,2275,61,81,8,284,6,125,7,6
