"","Date","Absents","Paramset","Infections_or_Exposed_per_day_Patient","Infections_or_Exposed_per_day_HCW","total_infections","nosocomial_proportion","PCR_pooled","LFD_pooled","HCW_symp_test","patient_symp_test","new_hcw_infs","cumulative_hcw_infs","new_pat_infs","cumulative_pats_infs","new_nosocomial_hcw_infs","new_nosocomial_pat_infs"
"1","2020-03-07",1,1,0,0,1495,0.606688963210702,2070,3713,165,175,NA,NA,NA,NA,NA,NA
"2","2020-03-08",1,1,0,0,1495,0.606688963210702,2070,3713,165,175,NA,NA,NA,NA,NA,NA
"3","2020-03-09",0,1,0,0,1495,0.606688963210702,2070,3713,165,175,NA,NA,NA,NA,NA,NA
"4","2020-03-10",0,1,0,0,1495,0.606688963210702,2070,3713,165,175,NA,NA,NA,NA,NA,NA
"5","2020-03-11",0,1,0,0,1495,0.606688963210702,2070,3713,165,175,21,21,13,13,2,13
"6","2020-03-12",0,1,0,0,1495,0.606688963210702,2070,3713,165,175,26,47,11,24,2,11
"7","2020-03-13",1,1,67,64,1495,0.606688963210702,2070,3713,165,175,17,64,25,49,3,25
"8","2020-03-14",2,1,65,81,1495,0.606688963210702,2070,3713,165,175,17,81,11,60,5,11
"9","2020-03-15",12,1,62,101,1495,0.606688963210702,2070,3713,165,175,20,101,11,71,10,11
"10","2020-03-16",15,1,81,131,1495,0.606688963210702,2070,3713,165,175,30,131,22,93,13,22
"11","2020-03-17",15,1,89,149,1495,0.606688963210702,2070,3713,165,175,19,150,22,115,2,22
"12","2020-03-18",19,1,85,173,1495,0.606688963210702,2070,3713,165,175,26,176,11,126,18,11
"13","2020-03-19",29,1,81,190,1495,0.606688963210702,2070,3713,165,175,22,198,10,136,10,10
"14","2020-03-20",45,1,82,201,1495,0.606688963210702,2070,3713,165,175,23,221,15,151,13,15
"15","2020-03-21",58,1,71,210,1495,0.606688963210702,2070,3713,165,175,19,240,10,161,12,10
"16","2020-03-22",57,1,65,230,1495,0.606688963210702,2070,3713,165,175,30,270,10,171,14,10
"17","2020-03-23",60,1,69,237,1495,0.606688963210702,2070,3713,165,175,20,290,14,185,16,14
"18","2020-03-24",71,1,65,233,1495,0.606688963210702,2070,3713,165,175,20,310,12,197,12,12
"19","2020-03-25",80,1,68,250,1495,0.606688963210702,2070,3713,165,175,33,343,13,210,23,13
"20","2020-03-26",82,1,69,256,1495,0.606688963210702,2070,3713,165,175,24,367,14,224,10,14
"21","2020-03-27",79,1,66,260,1495,0.606688963210702,2070,3713,165,175,28,395,8,232,13,8
"22","2020-03-28",83,1,60,259,1495,0.606688963210702,2070,3713,165,175,24,419,6,238,12,6
"23","2020-03-29",83,1,56,258,1495,0.606688963210702,2070,3713,165,175,23,442,10,248,18,10
"24","2020-03-30",83,1,53,274,1495,0.606688963210702,2070,3713,165,175,35,477,13,261,23,13
"25","2020-03-31",80,1,61,295,1495,0.606688963210702,2070,3713,165,175,32,509,14,275,26,14
"26","2020-04-01",82,1,68,295,1495,0.606688963210702,2070,3713,165,175,28,537,18,293,19,18
"27","2020-04-02",80,1,66,307,1495,0.606688963210702,2070,3713,165,175,39,576,10,303,24,10
"28","2020-04-03",83,1,56,307,1495,0.606688963210702,2070,3713,165,175,23,599,6,309,17,6
"29","2020-04-04",86,1,69,308,1495,0.606688963210702,2070,3713,165,175,31,630,16,325,25,16
"30","2020-04-05",102,1,79,308,1495,0.606688963210702,2070,3713,165,175,22,652,20,345,17,20
"31","2020-04-06",103,1,83,296,1495,0.606688963210702,2070,3713,165,175,32,684,18,363,22,18
"32","2020-04-07",98,1,87,298,1495,0.606688963210702,2070,3713,165,175,19,703,19,382,10,19
"33","2020-04-08",90,1,77,297,1495,0.606688963210702,2070,3713,165,175,27,730,10,392,17,10
"34","2020-04-09",87,1,69,298,1495,0.606688963210702,2070,3713,165,175,22,752,10,402,17,10
"35","2020-04-10",95,1,75,296,1495,0.606688963210702,2070,3713,165,175,22,774,12,414,16,12
"36","2020-04-11",95,1,69,300,1495,0.606688963210702,2070,3713,165,175,24,798,14,428,21,14
"37","2020-04-12",84,1,68,284,1495,0.606688963210702,2070,3713,165,175,19,817,12,440,14,12
"38","2020-04-13",82,1,66,274,1495,0.606688963210702,2070,3713,165,175,20,837,10,450,17,10
"39","2020-04-14",74,1,75,257,1495,0.606688963210702,2070,3713,165,175,24,861,13,463,16,13
"40","2020-04-15",78,1,66,249,1495,0.606688963210702,2070,3713,165,175,22,883,9,472,17,9
"41","2020-04-16",81,1,55,248,1495,0.606688963210702,2070,3713,165,175,26,909,4,476,18,4
"42","2020-04-17",83,1,42,246,1495,0.606688963210702,2070,3713,165,175,16,925,3,479,10,3
"43","2020-04-18",80,1,37,232,1495,0.606688963210702,2070,3713,165,175,9,934,2,481,7,2
"44","2020-04-19",72,1,29,222,1495,0.606688963210702,2070,3713,165,175,17,951,3,484,13,3
"45","2020-04-20",76,1,29,212,1495,0.606688963210702,2070,3713,165,175,15,966,4,488,9,4
"46","2020-04-21",77,1,26,202,1495,0.606688963210702,2070,3713,165,175,16,982,6,494,14,6
"47","2020-04-22",74,1,24,201,1495,0.606688963210702,2070,3713,165,175,25,1007,6,500,17,6
